logN,backend,mode,avg_bw_KB,avg_rounds,avg_answer_rnd,hit_pct
16,AVL,Baseline,379.31,73,73,70
16,AVL,TM,298.96,54,54.1,70
16,AVL,FO,501.66,73,54.1,70
16,BPlus,Baseline,726.55,17,17,70
16,BPlus,TM,459.00,13,12.8,70
16,BPlus,FO,771.55,17,12.8,70
16,DaAvl,Baseline,204.00,31,31,70
16,DaAvl,TM,420.50,31,17.1,70
16,DaAvl,FO,420.50,31,17.1,70
16,DaBplus,Baseline,135.00,22,22,70
16,DaBplus,TM,379.86,22,14.4,70
16,DaBplus,FO,379.86,22,14.4,70
20,AVL,Baseline,557.16,88,88,58
20,AVL,TM,410.15,64,63.9,58
20,AVL,FO,668.25,88,63.9,58
20,BPlus,Baseline,1196.00,21,21,58
20,BPlus,TM,695.00,15,15.2,58
20,BPlus,FO,1169.00,21,15.2,58
20,DaAvl,Baseline,262.00,31,31,58
20,DaAvl,TM,478.12,31,19.5,58
20,DaAvl,FO,478.12,31,19.5,58
20,DaBplus,Baseline,176.00,22,22,58
20,DaBplus,TM,428.00,22,15.7,58
20,DaBplus,FO,428.00,22,15.7,58
24,AVL,Baseline,789.84,106,106,48
24,AVL,TM,572.44,77,77.2,48
24,AVL,FO,889.69,106,77.2,48
24,BPlus,Baseline,1780.00,25,25,48
24,BPlus,TM,1050.00,18,18.3,48
24,BPlus,FO,1681.00,25,18.3,48
24,DaAvl,Baseline,335.00,32,32,48
24,DaAvl,TM,551.50,32,21.9,48
24,DaAvl,FO,551.50,32,21.9,48
24,DaBplus,Baseline,233.00,23,23,48
24,DaBplus,TM,491.86,23,16.8,48
24,DaBplus,FO,491.86,23,16.8,48
