onset_queries_K,B_swap,hit_rate_pct
0.0,8,0.03
5.0,8,31.42
10.0,8,35.37
15.0,8,37.60
20.0,8,39.24
25.0,8,40.63
30.0,8,41.73
35.0,8,41.75
40.0,8,41.92
45.0,8,42.34
50.0,8,42.30
55.0,8,42.54
60.0,8,42.56
65.0,8,42.66
70.0,8,42.57
75.0,8,42.72
80.0,8,42.67
85.0,8,42.76
90.0,8,42.70
95.0,8,42.75
100.0,8,42.74
105.0,8,42.79
110.0,8,42.80
115.0,8,42.82
120.0,8,42.79
125.0,8,42.79
130.0,8,42.80
135.0,8,42.75
140.0,8,42.91
145.0,8,42.85
150.0,8,42.92
155.0,8,42.88
160.0,8,42.93
165.0,8,42.93
170.0,8,42.94
175.0,8,42.89
180.0,8,42.91
185.0,8,42.88
190.0,8,42.90
195.0,8,42.91
200.0,8,42.85
205.0,8,42.88
210.0,8,42.83
215.0,8,42.78
220.0,8,42.81
225.0,8,42.79
230.0,8,42.82
235.0,8,42.81
240.0,8,42.81
245.0,8,42.82
250.0,8,42.81
255.0,8,42.82
260.0,8,42.80
265.0,8,42.76
270.0,8,42.78
275.0,8,42.79
280.0,8,42.76
285.0,8,42.84
290.0,8,42.80
295.0,8,42.82
300.0,8,42.81
305.0,8,42.82
310.0,8,42.80
315.0,8,42.77
320.0,8,42.78
325.0,8,42.78
330.0,8,42.78
335.0,8,42.73
340.0,8,42.85
345.0,8,42.80
350.0,8,42.89
355.0,8,42.81
360.0,8,42.87
365.0,8,42.83
370.0,8,42.88
375.0,8,42.86
380.0,8,42.85
385.0,8,42.85
390.0,8,42.84
395.0,8,42.89
400.0,8,42.83
405.0,8,42.98
410.0,8,42.88
415.0,8,42.99
420.0,8,42.90
425.0,8,42.95
430.0,8,42.92
435.0,8,42.95
440.0,8,42.91
445.0,8,42.91
450.0,8,42.91
455.0,8,42.89
460.0,8,42.90
465.0,8,42.77
470.0,8,42.88
475.0,8,42.81
480.0,8,42.86
485.0,8,42.84
490.0,8,42.86
495.0,8,42.85
0.0,16,0.03
5.0,16,27.10
10.0,16,30.94
15.0,16,33.52
20.0,16,35.08
25.0,16,36.39
30.0,16,37.55
35.0,16,38.46
40.0,16,39.27
45.0,16,40.02
50.0,16,40.63
55.0,16,41.13
60.0,16,41.63
65.0,16,42.07
70.0,16,42.54
75.0,16,42.70
80.0,16,42.59
85.0,16,42.51
90.0,16,42.51
95.0,16,42.62
100.0,16,42.79
105.0,16,42.74
110.0,16,42.72
115.0,16,42.77
120.0,16,42.83
125.0,16,42.81
130.0,16,42.78
135.0,16,42.87
140.0,16,43.00
145.0,16,42.93
150.0,16,42.86
155.0,16,42.87
160.0,16,42.95
165.0,16,43.01
170.0,16,42.97
175.0,16,42.90
180.0,16,42.95
185.0,16,42.96
190.0,16,42.93
195.0,16,42.88
200.0,16,42.98
205.0,16,43.02
210.0,16,42.90
215.0,16,42.83
220.0,16,42.84
225.0,16,42.90
230.0,16,42.95
235.0,16,42.89
240.0,16,42.87
245.0,16,42.90
250.0,16,42.90
255.0,16,42.89
260.0,16,42.85
265.0,16,42.95
270.0,16,42.92
275.0,16,42.82
280.0,16,42.79
285.0,16,42.83
290.0,16,42.97
295.0,16,42.94
300.0,16,42.87
305.0,16,42.85
310.0,16,42.88
315.0,16,42.90
320.0,16,42.87
325.0,16,42.83
330.0,16,42.90
335.0,16,42.89
340.0,16,42.77
345.0,16,42.75
350.0,16,42.78
355.0,16,42.92
360.0,16,42.92
365.0,16,42.84
370.0,16,42.81
375.0,16,42.84
380.0,16,42.89
385.0,16,42.85
390.0,16,42.83
395.0,16,42.93
400.0,16,42.87
405.0,16,42.77
410.0,16,42.76
415.0,16,42.86
420.0,16,43.00
425.0,16,42.96
430.0,16,42.88
435.0,16,42.86
440.0,16,42.89
445.0,16,42.94
450.0,16,42.93
455.0,16,42.89
460.0,16,42.92
465.0,16,42.89
470.0,16,42.78
475.0,16,42.74
480.0,16,42.77
485.0,16,42.95
490.0,16,42.96
495.0,16,42.93
0.0,32,0.03
5.0,32,23.95
10.0,32,27.05
15.0,32,29.16
20.0,32,30.83
25.0,32,32.12
30.0,32,33.31
35.0,32,34.15
40.0,32,34.86
45.0,32,35.54
50.0,32,36.23
55.0,32,36.85
60.0,32,37.25
65.0,32,37.69
70.0,32,38.15
75.0,32,38.55
80.0,32,38.89
85.0,32,39.33
90.0,32,39.66
95.0,32,39.96
100.0,32,40.23
105.0,32,40.51
110.0,32,40.77
115.0,32,41.04
120.0,32,41.29
125.0,32,41.52
130.0,32,41.79
135.0,32,42.02
140.0,32,42.26
145.0,32,42.48
150.0,32,42.70
155.0,32,42.91
160.0,32,43.03
165.0,32,43.05
170.0,32,43.00
175.0,32,42.92
180.0,32,42.86
185.0,32,42.83
190.0,32,42.80
195.0,32,42.82
200.0,32,42.88
205.0,32,42.97
210.0,32,43.08
215.0,32,43.12
220.0,32,43.13
225.0,32,43.04
230.0,32,42.99
235.0,32,42.95
240.0,32,42.93
245.0,32,42.94
250.0,32,42.92
255.0,32,42.93
260.0,32,42.94
265.0,32,42.99
270.0,32,43.01
275.0,32,42.96
280.0,32,42.88
285.0,32,42.81
290.0,32,42.79
295.0,32,42.75
300.0,32,42.75
305.0,32,42.77
310.0,32,42.77
315.0,32,42.81
320.0,32,42.91
325.0,32,42.97
330.0,32,42.99
335.0,32,42.97
340.0,32,42.85
345.0,32,42.83
350.0,32,42.79
355.0,32,42.74
360.0,32,42.73
365.0,32,42.74
370.0,32,42.80
375.0,32,42.83
380.0,32,42.90
385.0,32,42.95
390.0,32,42.95
395.0,32,42.96
400.0,32,42.88
405.0,32,42.84
410.0,32,42.85
415.0,32,42.85
420.0,32,42.82
425.0,32,42.84
430.0,32,42.88
435.0,32,42.93
440.0,32,43.00
445.0,32,43.02
450.0,32,42.99
455.0,32,42.98
460.0,32,42.95
465.0,32,42.90
470.0,32,42.88
475.0,32,42.87
480.0,32,42.85
485.0,32,42.91
