onset_queries_K,B_swap,hit_rate_pct
0.0,8,0.10
5.0,8,37.16
10.0,8,41.93
15.0,8,44.96
20.0,8,46.92
25.0,8,48.63
30.0,8,49.81
35.0,8,50.39
40.0,8,50.31
45.0,8,50.70
50.0,8,50.75
55.0,8,50.90
60.0,8,50.96
65.0,8,51.08
70.0,8,51.04
75.0,8,51.10
80.0,8,51.15
85.0,8,51.14
90.0,8,51.21
95.0,8,51.17
100.0,8,51.23
105.0,8,51.26
110.0,8,51.26
115.0,8,51.26
120.0,8,51.22
125.0,8,51.21
130.0,8,51.20
135.0,8,51.14
140.0,8,51.18
145.0,8,51.22
150.0,8,51.21
155.0,8,51.33
160.0,8,51.28
165.0,8,51.30
170.0,8,51.30
175.0,8,51.33
180.0,8,51.36
185.0,8,51.35
190.0,8,51.35
195.0,8,51.34
200.0,8,51.33
205.0,8,51.29
210.0,8,51.37
215.0,8,51.25
220.0,8,51.33
225.0,8,51.26
230.0,8,51.29
235.0,8,51.25
240.0,8,51.28
245.0,8,51.29
250.0,8,51.27
255.0,8,51.28
260.0,8,51.27
265.0,8,51.23
270.0,8,51.16
275.0,8,51.26
280.0,8,51.18
285.0,8,51.24
290.0,8,51.18
295.0,8,51.23
300.0,8,51.21
305.0,8,51.23
310.0,8,51.24
315.0,8,51.24
320.0,8,51.26
325.0,8,51.23
330.0,8,51.27
335.0,8,51.14
340.0,8,51.30
345.0,8,51.22
350.0,8,51.30
355.0,8,51.25
360.0,8,51.27
365.0,8,51.26
370.0,8,51.29
375.0,8,51.26
380.0,8,51.32
385.0,8,51.32
390.0,8,51.33
395.0,8,51.35
400.0,8,51.22
405.0,8,51.27
410.0,8,51.21
415.0,8,51.25
420.0,8,51.24
425.0,8,51.27
430.0,8,51.25
435.0,8,51.25
440.0,8,51.22
445.0,8,51.25
450.0,8,51.24
455.0,8,51.23
460.0,8,51.22
465.0,8,51.13
470.0,8,51.14
475.0,8,51.19
480.0,8,51.13
485.0,8,51.24
490.0,8,51.22
495.0,8,51.26
0.0,16,0.10
5.0,16,32.52
10.0,16,37.17
15.0,16,39.82
20.0,16,41.98
25.0,16,43.33
30.0,16,44.51
35.0,16,45.62
40.0,16,46.64
45.0,16,47.45
50.0,16,48.26
55.0,16,48.95
60.0,16,49.60
65.0,16,50.17
70.0,16,50.72
75.0,16,51.20
80.0,16,51.19
85.0,16,51.11
90.0,16,51.07
95.0,16,51.11
100.0,16,51.28
105.0,16,51.28
110.0,16,51.21
115.0,16,51.21
120.0,16,51.31
125.0,16,51.31
130.0,16,51.26
135.0,16,51.28
140.0,16,51.42
145.0,16,51.40
150.0,16,51.29
155.0,16,51.28
160.0,16,51.27
165.0,16,51.32
170.0,16,51.31
175.0,16,51.27
180.0,16,51.25
185.0,16,51.33
190.0,16,51.33
195.0,16,51.31
200.0,16,51.37
205.0,16,51.48
210.0,16,51.46
215.0,16,51.35
220.0,16,51.30
225.0,16,51.33
230.0,16,51.38
235.0,16,51.39
240.0,16,51.34
245.0,16,51.33
250.0,16,51.36
