queries_K,B_obs,hit_rate_pct
0.0,16384,52.00
20.0,16384,51.86
40.0,16384,51.36
60.0,16384,51.00
80.0,16384,50.86
100.0,16384,51.15
120.0,16384,50.64
140.0,16384,50.53
160.0,16384,50.65
180.0,16384,51.02
200.0,16384,50.45
220.0,16384,50.52
240.0,16384,50.61
260.0,16384,50.96
280.0,16384,50.36
300.0,16384,50.29
320.0,16384,50.63
340.0,16384,50.70
360.0,16384,50.27
380.0,16384,50.32
400.0,16384,50.78
420.0,16384,50.81
440.0,16384,50.34
460.0,16384,50.42
480.0,16384,50.61
500.0,16384,50.69
0.0,32768,52.00
20.0,32768,52.00
40.0,32768,52.00
60.0,32768,51.50
80.0,32768,51.32
100.0,32768,51.14
120.0,32768,51.21
140.0,32768,50.97
160.0,32768,51.01
180.0,32768,51.32
200.0,32768,50.95
220.0,32768,50.92
240.0,32768,51.23
260.0,32768,51.00
280.0,32768,50.90
300.0,32768,51.06
320.0,32768,51.29
340.0,32768,50.94
360.0,32768,50.89
380.0,32768,51.31
400.0,32768,51.08
420.0,32768,50.87
440.0,32768,51.14
460.0,32768,51.15
480.0,32768,50.85
500.0,32768,50.93
0.0,65536,52.00
20.0,65536,52.00
40.0,65536,52.00
60.0,65536,52.00
80.0,65536,52.00
100.0,65536,51.68
120.0,65536,51.45
140.0,65536,51.43
160.0,65536,51.21
180.0,65536,51.30
200.0,65536,51.29
220.0,65536,51.26
240.0,65536,51.46
260.0,65536,51.39
280.0,65536,51.35
300.0,65536,51.52
320.0,65536,51.38
340.0,65536,51.47
360.0,65536,51.45
380.0,65536,51.28
400.0,65536,51.49
420.0,65536,51.29
440.0,65536,51.22
460.0,65536,51.42
480.0,65536,51.22
500.0,65536,51.16
