backend,logN,log_n,base_rnd,base_ms,hot_rnd,hot_ms,cold_rnd,cold_ms,base_bw_KB,hot_bw_KB,cold_bw_KB
AVL,24,6,105.00,1.05,28.00,0.18,106.00,1.04,5906.25,123.56,812.62
AVL,24,8,105.00,1.05,37.00,0.26,106.00,1.07,5906.25,169.97,844.97
AVL,24,10,105.00,1.05,46.00,0.34,106.00,1.08,5906.25,228.75,889.69
AVL,24,12,105.00,1.05,55.00,0.43,106.00,1.08,5906.25,299.91,946.78
AVL,24,14,105.00,1.05,64.00,0.56,106.00,1.13,5906.25,383.44,1016.25
AVL,24,16,105.00,1.05,73.00,0.66,106.00,1.15,5906.25,479.34,1098.09
BPlus,24,10,26.00,0.37,11.00,0.09,25.00,0.28,8694.36,366.76,1681.37
BPlus,24,12,26.00,0.37,13.00,0.12,25.00,0.31,8694.36,512.00,1696.49
BPlus,24,14,26.00,0.37,15.00,0.15,25.00,0.30,8694.36,677.03,1866.45
DaBplus,24,10,22.00,0.71,11.00,0.43,23.00,1.35,1067.83,491.73,491.73
DaBplus,24,12,22.00,0.71,13.00,0.91,23.00,2.01,1067.83,621.39,621.39
DaBplus,24,14,22.00,0.71,15.00,0.89,23.00,1.37,1067.83,779.86,779.86
