logN,config,answer_us,total_us
14,flat_avl,52870.6,52870.6
14,packed_FO,391.8,49178.3
14,packed_TM,380.2,380.2
16,flat_avl,81651.3,81651.3
16,packed_FO,394.1,75057.8
16,packed_TM,382.1,382.1
18,flat_avl,116904.1,116904.1
18,packed_FO,398.9,105645.4
18,packed_TM,382.2,382.2
20,flat_avl,163900.8,163900.8
20,packed_FO,407.0,150788.6
20,packed_TM,389.3,389.3
22,flat_avl,227072.7,227072.7
22,packed_FO,432.3,207389.1
22,packed_TM,416.1,416.1
24,flat_avl,303622.8,303622.8
24,packed_FO,535.2,279245.9
24,packed_TM,514.3,514.3
