logN,type,avg_bw_KB,avg_rounds,avg_answer_rnd,hit_pct
12,standalone,1579.50,54.0,54.0,
12,fair,224.25,55.0,55.0,
12,TM_split,218.91,62.0,52.4,87.5
14,standalone,2126.25,63.0,63.0,
14,fair,296.72,64.0,64.0,
14,TM_split,257.96,69.5,61.1,76.0
16,standalone,2754.00,72.0,72.0,
16,fair,379.31,73.0,73.0,
16,TM_split,298.96,75.6,68.0,69.5
18,standalone,3334.50,78.0,78.0,
18,fair,456.00,79.0,79.0,
18,TM_split,356.11,83.5,76.8,60.5
20,standalone,4110.75,87.0,87.0,
20,fair,557.16,88.0,88.0,
20,TM_split,410.15,89.3,83.0,57.5
