op,hot_hits,queries,hit_rate,hot_size,phase
100,69,100,69,32,1
200,70,100,70,32,1
300,72,100,72,32,1
400,69,100,69,32,1
500,66,100,66,31,1
600,66,100,66,31,1
700,70,100,70,30,1
800,68,100,68,29,1
900,63,100,63,28,1
1000,61,100,61,27,1
1100,59,100,59,26,1
1200,61,100,61,25,1
1300,56,100,56,23,1
1400,51,100,51,22,1
1500,58,100,58,21,1
1600,54,100,54,22,1
1700,56,100,56,21,1
1800,63,100,63,20,1
1900,52,100,52,20,1
2000,46,100,46,21,1
2100,0,100,0,21,2
2200,14,100,14,20,2
2300,20,100,20,19,2
2400,15,100,15,17,2
2500,20,100,20,16,2
2600,15,100,15,16,2
2700,17,100,17,14,2
2800,23,100,23,14,2
2900,32,100,32,12,2
3000,37,100,37,11,2
3100,22,100,22,9,2
3200,26,100,26,8,2
3300,33,100,33,8,2
3400,21,100,21,7,2
3500,13,100,13,6,2
3600,14,100,14,5,2
3700,11,100,11,4,2
3800,8,100,8,3,2
3900,10,100,10,2,2
4000,10,100,10,1,2
