op,hot_hits,queries,hit_rate,hot_size
100,69,100,69,32
200,70,100,70,32
300,72,100,72,32
400,69,100,69,32
500,66,100,66,31
600,66,100,66,31
700,70,100,70,30
800,68,100,68,29
900,63,100,63,28
1000,61,100,61,27
1100,59,100,59,26
1200,61,100,61,25
1300,56,100,56,23
1400,51,100,51,22
1500,58,100,58,21
1600,54,100,54,22
1700,56,100,56,21
1800,63,100,63,20
1900,52,100,52,20
2000,46,100,46,21
2100,57,100,57,21
2200,53,100,53,21
2300,44,100,44,20
2400,47,100,47,18
2500,55,100,55,17
2600,48,100,48,17
2700,44,100,44,17
2800,50,100,50,17
2900,59,100,59,17
3000,55,100,55,17
