epoch_length,promote_thresh,staleness,steady_hit_rate,final_hot_size
32,3,2,38.9,5
32,3,3,38.7,7
32,3,5,39.6,6
32,3,8,41.2,9
32,5,2,28.3,2
32,5,3,32.2,2
32,5,5,32.5,3
32,5,8,32.8,2
32,10,2,6.4,0
32,10,3,21.9,1
32,10,5,24.6,1
32,10,8,24.8,1
32,20,2,6.4,0
32,20,3,21.9,1
32,20,5,24.6,1
32,20,8,24.8,1
64,3,2,57.5,23
64,3,3,57.5,24
64,3,5,60.4,24
64,3,8,60.8,24
64,5,2,53.2,16
64,5,3,55.6,21
64,5,5,56.4,21
64,5,8,56.4,21
64,10,2,51.5,13
64,10,3,54,17
64,10,5,54.8,17
64,10,8,54.8,17
64,20,2,51.5,13
64,20,3,54,17
64,20,5,54.8,17
64,20,8,54.8,17
128,3,2,63.7,31
128,3,3,63.7,31
128,3,5,63.7,31
128,3,8,63.7,31
128,5,2,62.7,28
128,5,3,62.7,28
128,5,5,62.7,28
128,5,8,62.7,28
128,10,2,57.2,25
128,10,3,57.2,25
128,10,5,57.2,25
128,10,8,57.2,25
128,20,2,53.7,25
128,20,3,53.7,25
128,20,5,53.7,25
128,20,8,53.7,25
256,3,2,66.3,36
256,3,3,66.3,36
256,3,5,66.3,36
256,3,8,66.3,36
256,5,2,65.4,32
256,5,3,65.4,32
256,5,5,65.4,32
256,5,8,65.4,32
256,10,2,65.4,32
256,10,3,65.4,32
256,10,5,65.4,32
256,10,8,65.4,32
256,20,2,65.4,32
256,20,3,65.4,32
256,20,5,65.4,32
256,20,8,65.4,32
512,3,2,66.6,35
512,3,3,66.6,35
512,3,5,66.6,35
512,3,8,66.6,35
512,5,2,65.7,33
512,5,3,65.7,33
512,5,5,65.7,33
512,5,8,65.7,33
512,10,2,65.4,32
512,10,3,65.4,32
512,10,5,65.4,32
512,10,8,65.4,32
512,20,2,65.4,32
512,20,3,65.4,32
512,20,5,65.4,32
512,20,8,65.4,32
