backend,logN,log_n,base_rnd,base_ms,hot_rnd,hot_ms,cold_rnd,cold_ms,base_bw_KB,hot_bw_KB,cold_bw_KB
AVL,24,10,106.00,6776.93,46.00,2921.45,106.00,6985.12,1539.84,2441.25,2441.25
AVL,24,12,106.00,6776.93,55.00,3461.21,106.00,6687.49,1539.84,2498.34,2498.34
AVL,24,14,106.00,6776.93,64.00,4057.92,106.00,6787.12,1539.84,2567.81,2567.81
AVL,24,6,106.00,8307.69,28.00,2140.35,106.00,8239.35,1539.84,2364.19,2364.19
AVL,24,8,106.00,8307.69,37.00,2866.31,106.00,8340.75,1539.84,2396.53,2396.53
AVL,24,16,106.00,8307.69,73.00,5669.05,106.00,8207.83,1539.84,2649.66,2649.66
BPlus,24,10,37.00,2396.03,16.00,1008.12,37.00,2363.10,3394.69,4205.35,4205.35
BPlus,24,12,37.00,2396.03,19.00,1201.26,37.00,2372.13,3394.69,4285.30,4285.30
BPlus,24,14,37.00,2396.03,22.00,1408.32,37.00,2377.39,3394.69,4534.49,4534.49
DaBplus,24,10,32.00,2024.92,16.00,1007.63,32.00,2014.77,1027.40,2128.63,2128.63
DaBplus,24,12,32.00,2024.92,19.00,1167.14,32.00,1991.40,1027.40,2323.12,2323.12
DaBplus,24,14,32.00,2024.92,22.00,1369.49,32.00,2005.87,1027.40,2560.82,2560.82
