backend,logN,value_size,type,avg_bw_KB,avg_rounds,avg_answer_rnd,avg_hot_answer_rnd,avg_cold_answer_rnd,hit_pct,response_ms,hot_response_ms,cold_response_ms
AVL,16,4096,fair,889.31,73.0,73.0,,,,2107.5,,
AVL,16,4096,tiered_FO,1556.72,73.0,54.9,46.0,73.0,67.0,1585.3,1328.0,2107.5
AVL,20,4096,fair,1187.16,88.0,88.0,,,,2540.6,,
AVL,20,4096,tiered_FO,1971.56,88.0,65.9,46.0,88.0,52.7,1901.1,1328.0,2540.6
AVL,24,4096,fair,1539.84,106.0,106.0,,,,3060.2,,
AVL,24,4096,tiered_FO,2441.25,106.0,79.9,46.0,106.0,43.6,2305.8,1328.0,3060.2
BPlus,16,4096,fair,1582.31,25.0,25.0,,,,721.8,,
BPlus,16,4096,tiered_FO,2280.54,25.0,19.0,16.0,25.0,67.0,547.7,461.9,721.8
BPlus,20,4096,fair,2402.06,31.0,31.0,,,,895.0,,
BPlus,20,4096,tiered_FO,3156.51,31.0,23.1,16.0,31.0,52.7,666.6,461.9,895.0
BPlus,24,4096,fair,3394.69,37.0,37.0,,,,1068.2,,
BPlus,24,4096,tiered_FO,4205.35,37.0,27.9,16.0,37.0,43.6,804.1,461.9,1068.2
DaBplus,16,4096,fair,674.96,31.0,31.0,,,,895.0,,
DaBplus,16,4096,tiered_FO,1551.20,31.0,21.0,16.0,31.0,67.0,604.9,461.9,895.0
DaBplus,20,4096,fair,843.30,31.0,31.0,,,,895.0,,
DaBplus,20,4096,tiered_FO,1839.91,31.0,23.1,16.0,31.0,52.7,666.6,461.9,895.0
DaBplus,24,4096,fair,1027.40,32.0,32.0,,,,923.8,,
DaBplus,24,4096,tiered_FO,2128.63,32.0,25.0,16.0,32.0,43.6,722.7,461.9,923.8
