backend,logN,value_size,type,avg_bw_KB,avg_rounds,avg_answer_rnd,avg_hot_answer_rnd,avg_cold_answer_rnd,hit_pct,response_ms,hot_response_ms,cold_response_ms,client_storage_KB
AVL,16,4096,fair,889.31,73.0,73.0,,,,2107.5,,,0
AVL,16,4096,local_index_FO,1386.56,63.0,21.5,1.0,63.0,67.0,619.7,28.9,1818.8,35.97
AVL,20,4096,fair,1187.16,88.0,88.0,,,,2540.6,,,0
AVL,20,4096,local_index_FO,1801.41,78.0,37.4,1.0,78.0,52.7,1079.6,28.9,2251.9,35.97
AVL,24,4096,fair,1539.84,106.0,106.0,,,,3060.2,,,0
AVL,24,4096,local_index_FO,2271.09,96.0,54.6,1.0,96.0,43.6,1577.0,28.9,2771.5,35.97
BPlus,16,4096,fair,1582.31,25.0,25.0,,,,721.8,,,0
BPlus,16,4096,local_index_FO,1911.28,20.0,7.3,1.0,20.0,67.0,209.9,28.9,577.4,9.96
BPlus,20,4096,fair,2402.06,31.0,31.0,,,,895.0,,,0
BPlus,20,4096,local_index_FO,2787.25,26.0,12.8,1.0,26.0,52.7,370.0,28.9,750.6,11.97
BPlus,24,4096,fair,3394.69,37.0,37.0,,,,1068.2,,,0
BPlus,24,4096,local_index_FO,3836.09,32.0,18.5,1.0,32.0,43.6,534.0,28.9,923.8,9.02
DaBplus,16,4096,fair,674.96,31.0,31.0,,,,895.0,,,0
DaBplus,16,4096,local_index_FO,1220.02,31.0,10.9,1.0,31.0,67.0,314.8,28.9,895.0,8.00
DaBplus,20,4096,fair,843.30,31.0,31.0,,,,895.0,,,0
DaBplus,20,4096,local_index_FO,1516.61,31.0,15.2,1.0,31.0,52.7,438.2,28.9,895.0,8.00
DaBplus,24,4096,fair,1027.40,32.0,32.0,,,,923.8,,,0
DaBplus,24,4096,local_index_FO,1828.96,32.0,18.5,1.0,32.0,43.6,534.0,28.9,923.8,8.00
