profile,logN,N,n,s,value_size,data_value_size,Q,config,measured_hot_us,measured_cold_us,measured_total_us,measured_answer_us,avg_map_us,avg_data_us,modeled_total_us,hit_pct,speedup_measured,speedup_answer_measured,speedup_modeled,trusted_kb,page_us,hot_working_kb,cold_working_kb,cold_pages_est,hot_pages_avg
large,16,65536,1024,1.000,256,0,200,flat_original_enigmap,2190.043,2190.043,2190.043,2190.043,2190.043,0.000,2190.043,-1.000,1.000,1.000,1.000,0,0.000,2131,81920,936.000,0.000
large,16,65536,1024,1.000,256,0,200,packed_FO_original_enigmap,349.727,2502.347,2530.012,1049.328,2530.012,0.000,2530.012,67.500,0.866,2.087,0.866,0,0.000,2131,81920,936.000,10.000
large,16,65536,1024,1.000,256,0,200,packed_TM_original_enigmap,349.909,2164.415,939.655,939.624,939.655,0.000,939.624,67.500,2.331,2.331,2.331,0,0.000,2131,81920,936.000,10.000
large,20,1048576,1024,1.000,256,0,200,flat_original_enigmap,3559.740,3559.740,3559.740,3559.740,3559.740,0.000,3559.740,-1.000,1.000,1.000,1.000,0,0.000,2131,1310720,1408.000,0.000
large,20,1048576,1024,1.000,256,0,200,packed_FO_original_enigmap,351.367,3865.295,3911.939,1967.774,3911.939,0.000,3911.939,54.000,0.910,1.809,0.910,0,0.000,2131,1310720,1408.000,10.000
large,20,1048576,1024,1.000,256,0,200,packed_TM_original_enigmap,353.963,3506.342,1804.083,1804.057,1804.083,0.000,1804.057,54.000,1.973,1.973,1.973,0,0.000,2131,1310720,1408.000,10.000
large,24,16777216,1024,1.000,256,0,200,flat_original_enigmap,5266.550,5266.550,5266.550,5266.550,5266.550,0.000,5266.550,-1.000,1.000,1.000,1.000,0,0.000,2131,20971520,1976.000,0.000
large,24,16777216,1024,1.000,256,0,200,packed_FO_original_enigmap,350.272,5539.238,5592.463,3282.038,5592.463,0.000,5592.463,43.500,0.942,1.605,0.942,0,0.000,2131,20971520,1976.000,10.000
large,24,16777216,1024,1.000,256,0,200,packed_TM_original_enigmap,352.017,5182.578,3081.300,3081.284,3081.300,0.000,3081.284,43.500,1.709,1.709,1.709,0,0.000,2131,20971520,1976.000,10.000
large,16,65536,1024,1.000,8,4096,200,flat_original_enigmap,2394.572,2394.572,2394.572,2394.572,2198.689,195.339,2394.572,-1.000,1.000,1.000,1.000,0,0.000,148,81920,936.000,0.000
large,16,65536,1024,1.000,8,4096,200,packed_FO_original_enigmap,166.037,2511.127,2534.382,928.192,2206.853,326.643,2534.382,67.500,0.945,2.580,0.945,0,0.000,148,81920,936.000,10.000
large,16,65536,1024,1.000,8,4096,200,packed_TM_original_enigmap,175.882,2378.645,891.819,891.780,713.144,178.019,891.780,67.500,2.685,2.685,2.685,0,0.000,148,81920,936.000,10.000
large,20,1048576,1024,1.000,8,4096,200,flat_original_enigmap,3836.442,3836.442,3836.442,3836.442,3583.837,252.008,3836.442,-1.000,1.000,1.000,1.000,0,0.000,148,1310720,1408.000,0.000
large,20,1048576,1024,1.000,8,4096,200,packed_FO_original_enigmap,219.585,3970.460,4013.095,1944.987,3571.957,440.145,4013.095,54.000,0.956,1.972,0.956,0,0.000,148,1310720,1408.000,10.000
large,20,1048576,1024,1.000,8,4096,200,packed_TM_original_enigmap,232.429,3753.051,1851.948,1851.915,1614.663,236.524,1851.915,54.000,2.072,2.072,2.072,0,0.000,148,1310720,1408.000,10.000
large,24,16777216,1024,1.000,8,4096,200,flat_original_enigmap,9451.072,9451.072,9451.072,9451.072,7383.421,2066.535,9451.072,-1.000,1.000,1.000,1.000,0,0.000,148,20971520,1976.000,0.000
large,24,16777216,1024,1.000,8,4096,200,packed_FO_original_enigmap,1641.967,8847.530,8930.399,5713.110,5260.819,3668.327,8930.399,43.500,1.058,1.654,1.058,0,0.000,148,20971520,1976.000,10.000
large,24,16777216,1024,1.000,8,4096,200,packed_TM_original_enigmap,2185.287,8438.417,5718.340,5718.305,2957.185,2760.198,5718.305,43.500,1.653,1.653,1.653,0,0.000,148,20971520,1976.000,10.000
