scope,profile,logN,N,n,s,value_size,data_value_size,Q,config,measured_hot_us,measured_cold_us,measured_total_us,measured_answer_us,avg_map_us,avg_data_us,hit_pct,speedup_measured,speedup_answer_measured
256B map-side,large,14,16384,128,1.200,256,0,200,flat_original_enigmap,1665.941,1665.941,1665.941,1665.941,1665.941,0.000,-1.000,1.000,1.000
256B map-side,large,14,16384,128,1.200,256,0,200,packed_FO_original_enigmap,159.600,1805.185,1819.974,472.261,1819.974,0.000,81.000,0.915,3.528
256B map-side,large,14,16384,128,1.200,256,0,200,packed_TM_original_enigmap,159.985,1635.952,440.445,440.419,440.445,0.000,81.000,3.782,3.783
256B map-side,large,16,65536,128,1.200,256,0,200,flat_original_enigmap,2201.673,2201.673,2201.673,2201.673,2201.673,0.000,-1.000,1.000,1.000
256B map-side,large,16,65536,128,1.200,256,0,200,packed_FO_original_enigmap,159.830,2326.980,2353.993,701.618,2353.993,0.000,75.000,0.935,3.138
256B map-side,large,16,65536,128,1.200,256,0,200,packed_TM_original_enigmap,159.874,2170.326,662.509,662.487,662.509,0.000,75.000,3.323,3.323
256B map-side,large,18,262144,128,1.200,256,0,200,flat_original_enigmap,2794.104,2794.104,2794.104,2794.104,2794.104,0.000,-1.000,1.000,1.000
256B map-side,large,18,262144,128,1.200,256,0,200,packed_FO_original_enigmap,159.353,2928.231,2953.826,893.106,2953.826,0.000,73.500,0.946,3.129
256B map-side,large,18,262144,128,1.200,256,0,200,packed_TM_original_enigmap,159.775,2777.481,853.489,853.467,853.489,0.000,73.500,3.274,3.274
256B map-side,large,20,1048576,128,1.200,256,0,200,flat_original_enigmap,3577.414,3577.414,3577.414,3577.414,3577.414,0.000,-1.000,1.000,1.000
256B map-side,large,20,1048576,128,1.200,256,0,200,packed_FO_original_enigmap,160.230,3654.439,3693.582,1103.666,3693.582,0.000,73.000,0.969,3.241
256B map-side,large,20,1048576,128,1.200,256,0,200,packed_TM_original_enigmap,160.221,3519.698,1067.307,1067.280,1067.307,0.000,73.000,3.352,3.352
256B map-side,large,22,4194304,128,1.200,256,0,200,flat_original_enigmap,4294.725,4294.725,4294.725,4294.725,4294.725,0.000,-1.000,1.000,1.000
256B map-side,large,22,4194304,128,1.200,256,0,200,packed_FO_original_enigmap,159.777,4427.476,4452.399,1354.732,4452.399,0.000,72.000,0.965,3.170
256B map-side,large,22,4194304,128,1.200,256,0,200,packed_TM_original_enigmap,160.663,4309.531,1322.368,1322.346,1322.368,0.000,72.000,3.248,3.248
256B map-side,large,24,16777216,128,1.200,256,0,200,flat_original_enigmap,5186.317,5186.317,5186.317,5186.317,5186.317,0.000,-1.000,1.000,1.000
256B map-side,large,24,16777216,128,1.200,256,0,200,packed_FO_original_enigmap,159.920,5330.126,5375.088,1659.280,5375.088,0.000,71.000,0.965,3.126
256B map-side,large,24,16777216,128,1.200,256,0,200,packed_TM_original_enigmap,160.134,5153.225,1608.154,1608.130,1608.154,0.000,71.000,3.225,3.225
4KB full-query,large,14,16384,128,1.200,8,4096,200,flat_original_enigmap,1878.962,1878.962,1878.962,1878.962,1687.755,190.667,-1.000,1.000,1.000
4KB full-query,large,14,16384,128,1.200,8,4096,200,packed_FO_original_enigmap,151.014,1960.104,1976.868,494.741,1674.925,301.117,81.000,0.950,3.798
4KB full-query,large,14,16384,128,1.200,8,4096,200,packed_TM_original_enigmap,150.594,1809.680,465.867,465.820,313.559,151.675,81.000,4.033,4.034
4KB full-query,large,16,65536,128,1.200,8,4096,200,flat_original_enigmap,2749.955,2749.955,2749.955,2749.955,2226.241,523.120,-1.000,1.000,1.000
4KB full-query,large,16,65536,128,1.200,8,4096,200,packed_FO_original_enigmap,751.798,3506.287,3680.050,1440.420,2208.742,1470.300,75.000,0.747,1.909
4KB full-query,large,16,65536,128,1.200,8,4096,200,packed_TM_original_enigmap,887.619,3078.767,1435.460,1435.406,548.869,885.839,75.000,1.916,1.916
4KB full-query,large,18,262144,128,1.200,8,4096,200,flat_original_enigmap,3071.024,3071.024,3071.024,3071.024,2829.335,241.112,-1.000,1.000,1.000
4KB full-query,large,18,262144,128,1.200,8,4096,200,packed_FO_original_enigmap,205.875,3197.553,3217.747,998.670,2808.411,408.317,73.500,0.954,3.075
4KB full-query,large,18,262144,128,1.200,8,4096,200,packed_TM_original_enigmap,209.522,3051.768,962.766,962.717,749.524,212.490,73.500,3.190,3.190
4KB full-query,large,20,1048576,128,1.200,8,4096,200,flat_original_enigmap,4406.805,4406.805,4406.805,4406.805,3604.370,801.776,-1.000,1.000,1.000
4KB full-query,large,20,1048576,128,1.200,8,4096,200,packed_FO_original_enigmap,1135.141,6006.473,6114.625,2450.400,3565.365,2548.023,73.000,0.721,1.798
4KB full-query,large,20,1048576,128,1.200,8,4096,200,packed_TM_original_enigmap,3266.209,7656.649,4451.702,4451.628,956.174,3494.564,73.000,0.990,0.990
4KB full-query,large,22,4194304,128,1.200,8,4096,200,flat_original_enigmap,4729.460,4729.460,4729.460,4729.460,4438.565,290.239,-1.000,1.000,1.000
4KB full-query,large,22,4194304,128,1.200,8,4096,200,packed_FO_original_enigmap,256.873,4862.380,4883.529,1546.415,4363.113,519.348,72.000,0.968,3.058
4KB full-query,large,22,4194304,128,1.200,8,4096,200,packed_TM_original_enigmap,270.432,4686.927,1507.105,1507.051,1232.427,273.788,72.000,3.138,3.138
4KB full-query,large,24,16777216,128,1.200,8,4096,200,flat_original_enigmap,6193.589,6193.589,6193.589,6193.589,5244.512,948.352,-1.000,1.000,1.000
4KB full-query,large,24,16777216,128,1.200,8,4096,200,packed_FO_original_enigmap,1438.616,8335.738,8221.219,3438.781,5217.697,3002.198,71.000,0.753,1.801
4KB full-query,large,24,16777216,128,1.200,8,4096,200,packed_TM_original_enigmap,1516.397,6814.308,3052.861,3052.791,1515.645,1536.215,71.000,2.029,2.029
