profile,logN,N,n,s,value_size,data_value_size,Q,config,measured_hot_us,measured_cold_us,measured_total_us,measured_answer_us,avg_map_us,avg_data_us,modeled_total_us,hit_pct,speedup_measured,speedup_answer_measured,speedup_modeled,trusted_kb,page_us,hot_working_kb,cold_working_kb,cold_pages_est,hot_pages_avg
large,14,16384,128,1.200,8,4096,200,flat_original_enigmap,1878.962,1878.962,1878.962,1878.962,1687.755,190.667,1878.962,-1.000,1.000,1.000,1.000,0,0.000,19,20480,736.000,0.000
large,14,16384,128,1.200,8,4096,200,packed_FO_original_enigmap,151.014,1960.104,1976.868,494.741,1674.925,301.117,1976.868,81.000,0.950,3.798,0.950,0,0.000,19,20480,736.000,2.000
large,14,16384,128,1.200,8,4096,200,packed_TM_original_enigmap,150.594,1809.680,465.867,465.820,313.559,151.675,465.820,81.000,4.033,4.034,4.034,0,0.000,19,20480,736.000,2.000
large,16,65536,128,1.200,8,4096,200,flat_original_enigmap,2749.955,2749.955,2749.955,2749.955,2226.241,523.120,2749.955,-1.000,1.000,1.000,1.000,0,0.000,19,81920,936.000,0.000
large,16,65536,128,1.200,8,4096,200,packed_FO_original_enigmap,751.798,3506.287,3680.050,1440.420,2208.742,1470.300,3680.050,75.000,0.747,1.909,0.747,0,0.000,19,81920,936.000,2.000
large,16,65536,128,1.200,8,4096,200,packed_TM_original_enigmap,887.619,3078.767,1435.460,1435.406,548.869,885.839,1435.406,75.000,1.916,1.916,1.916,0,0.000,19,81920,936.000,2.000
large,18,262144,128,1.200,8,4096,200,flat_original_enigmap,3071.024,3071.024,3071.024,3071.024,2829.335,241.112,3071.024,-1.000,1.000,1.000,1.000,0,0.000,19,327680,1160.000,0.000
large,18,262144,128,1.200,8,4096,200,packed_FO_original_enigmap,205.875,3197.553,3217.747,998.670,2808.411,408.317,3217.747,73.500,0.954,3.075,0.954,0,0.000,19,327680,1160.000,2.000
large,18,262144,128,1.200,8,4096,200,packed_TM_original_enigmap,209.522,3051.768,962.766,962.717,749.524,212.490,962.717,73.500,3.190,3.190,3.190,0,0.000,19,327680,1160.000,2.000
large,20,1048576,128,1.200,8,4096,200,flat_original_enigmap,4406.805,4406.805,4406.805,4406.805,3604.370,801.776,4406.805,-1.000,1.000,1.000,1.000,0,0.000,19,1310720,1408.000,0.000
large,20,1048576,128,1.200,8,4096,200,packed_FO_original_enigmap,1135.141,6006.473,6114.625,2450.400,3565.365,2548.023,6114.625,73.000,0.721,1.798,0.721,0,0.000,19,1310720,1408.000,2.000
large,20,1048576,128,1.200,8,4096,200,packed_TM_original_enigmap,3266.209,7656.649,4451.702,4451.628,956.174,3494.564,4451.628,73.000,0.990,0.990,0.990,0,0.000,19,1310720,1408.000,2.000
large,22,4194304,128,1.200,8,4096,200,flat_original_enigmap,4729.460,4729.460,4729.460,4729.460,4438.565,290.239,4729.460,-1.000,1.000,1.000,1.000,0,0.000,19,5242880,1680.000,0.000
large,22,4194304,128,1.200,8,4096,200,packed_FO_original_enigmap,256.873,4862.380,4883.529,1546.415,4363.113,519.348,4883.529,72.000,0.968,3.058,0.968,0,0.000,19,5242880,1680.000,2.000
large,22,4194304,128,1.200,8,4096,200,packed_TM_original_enigmap,270.432,4686.927,1507.105,1507.051,1232.427,273.788,1507.051,72.000,3.138,3.138,3.138,0,0.000,19,5242880,1680.000,2.000
large,24,16777216,128,1.200,8,4096,200,flat_original_enigmap,6193.589,6193.589,6193.589,6193.589,5244.512,948.352,6193.589,-1.000,1.000,1.000,1.000,0,0.000,19,20971520,1976.000,0.000
large,24,16777216,128,1.200,8,4096,200,packed_FO_original_enigmap,1438.616,8335.738,8221.219,3438.781,5217.697,3002.198,8221.219,71.000,0.753,1.801,0.753,0,0.000,19,20971520,1976.000,2.000
large,24,16777216,128,1.200,8,4096,200,packed_TM_original_enigmap,1516.397,6814.308,3052.861,3052.791,1515.645,1536.215,3052.791,71.000,2.029,2.029,2.029,0,0.000,19,20971520,1976.000,2.000
