logN,backend,avg_bw_KB,avg_rounds,avg_comp_us
12,AVL,1579.50,54.0,391
12,BPlus,2239.02,14.0,133
12,DaAvl,808.75,29.0,162
12,DaBplus,525.39,20.0,120
14,AVL,2126.25,63.0,507
14,BPlus,3024.12,16.0,167
14,DaAvl,935.25,29.0,180
14,DaBplus,608.30,20.0,133
16,AVL,2754.00,72.0,633
16,BPlus,3925.55,18.0,209
16,DaAvl,1073.00,30.0,211
16,DaBplus,702.45,21.0,187
18,AVL,3334.50,78.0,772
18,BPlus,4943.28,20.0,260
18,DaAvl,1204.00,30.0,262
18,DaBplus,789.86,21.0,177
20,AVL,4110.75,87.0,1818
20,BPlus,6077.33,22.0,576
20,DaAvl,1335.00,30.0,345
20,DaBplus,877.27,21.0,754
