logN,type,avg_bw_KB,avg_rounds,avg_answer_rnd,hit_pct
12,standalone,1579.50,54.0,54.0,
12,fair_baseline,224.25,55.0,55.0,
12,TM_split,220.81,46.8,46.8,86.2
14,standalone,2126.25,63.0,63.0,
14,fair_baseline,296.72,64.0,64.0,
14,TM_split,259.28,50.4,50.4,75.4
16,standalone,2754.00,72.0,72.0,
16,fair_baseline,379.31,73.0,73.0,
16,TM_split,306.25,54.9,54.9,67.0
18,standalone,3334.50,78.0,78.0,
18,fair_baseline,456.00,79.0,79.0,
18,TM_split,359.33,59.3,59.3,59.6
20,standalone,4110.75,87.0,87.0,
20,fair_baseline,557.16,88.0,88.0,
20,TM_split,424.96,65.2,65.2,54.2
