query_idx,scenario,hit_pct
100,no_maint,67.0
200,no_maint,67.0
300,no_maint,67.0
400,no_maint,59.0
500,no_maint,70.0
600,no_maint,63.0
700,no_maint,63.0
800,no_maint,65.0
900,no_maint,73.0
1000,no_maint,68.0
1100,no_maint,64.0
1200,no_maint,64.0
1300,no_maint,60.0
1400,no_maint,61.0
1500,no_maint,65.0
1600,no_maint,67.0
1700,no_maint,64.0
1800,no_maint,58.0
1900,no_maint,60.0
2000,no_maint,69.0
2100,no_maint,0.0
2200,no_maint,0.0
2300,no_maint,0.0
2400,no_maint,0.0
2500,no_maint,0.0
2600,no_maint,0.0
2700,no_maint,1.0
2800,no_maint,0.0
2900,no_maint,1.0
3000,no_maint,0.0
3100,no_maint,0.0
3200,no_maint,0.0
3300,no_maint,0.0
3400,no_maint,0.0
3500,no_maint,0.0
3600,no_maint,0.0
3700,no_maint,0.0
3800,no_maint,0.0
3900,no_maint,0.0
4000,no_maint,0.0
4100,no_maint,0.0
4200,no_maint,0.0
4300,no_maint,0.0
4400,no_maint,0.0
4500,no_maint,0.0
4600,no_maint,0.0
4700,no_maint,0.0
4800,no_maint,0.0
4900,no_maint,0.0
5000,no_maint,0.0
100,with_maint,67.0
200,with_maint,67.0
300,with_maint,67.0
400,with_maint,59.0
500,with_maint,70.0
600,with_maint,63.0
700,with_maint,63.0
800,with_maint,65.0
900,with_maint,73.0
1000,with_maint,68.0
1100,with_maint,64.0
1200,with_maint,64.0
1300,with_maint,60.0
1400,with_maint,61.0
1500,with_maint,63.0
1600,with_maint,66.0
1700,with_maint,63.0
1800,with_maint,52.0
1900,with_maint,56.0
2000,with_maint,63.0
2100,with_maint,0.0
2200,with_maint,0.0
2300,with_maint,0.0
2400,with_maint,3.0
2500,with_maint,10.0
2600,with_maint,9.0
2700,with_maint,10.0
2800,with_maint,8.0
2900,with_maint,9.0
3000,with_maint,11.0
3100,with_maint,9.0
3200,with_maint,7.0
3300,with_maint,9.0
3400,with_maint,12.0
3500,with_maint,14.0
3600,with_maint,14.0
3700,with_maint,16.0
3800,with_maint,20.0
3900,with_maint,16.0
4000,with_maint,10.0
4100,with_maint,16.0
4200,with_maint,17.0
4300,with_maint,18.0
4400,with_maint,17.0
4500,with_maint,14.0
4600,with_maint,14.0
4700,with_maint,19.0
4800,with_maint,23.0
4900,with_maint,18.0
5000,with_maint,13.0
