logN,backend,type,ops_per_sec,avg_us_per_op
12,AVL,standalone,0.4,2531762
12,AVL,tiered_tm,0.4,2341184
12,DaBplus,standalone,1.1,880486
12,DaBplus,tiered_tm,1.1,935220
14,AVL,standalone,0.4,2845502
14,AVL,tiered_tm,0.3,2934391
14,DaBplus,standalone,1.2,868797
14,DaBplus,tiered_tm,1.0,965281
16,AVL,standalone,0.3,3186792
16,AVL,tiered_tm,0.3,3330562
16,DaBplus,standalone,1.1,936382
16,DaBplus,tiered_tm,1.0,957012
18,AVL,standalone,0.3,3597534
18,AVL,tiered_tm,0.3,3643405
18,DaBplus,standalone,1.1,935120
18,DaBplus,tiered_tm,1.0,963858
20,AVL,standalone,0.2,4896291
20,AVL,tiered_tm,0.2,4129323
20,DaBplus,standalone,1.0,969237
20,DaBplus,tiered_tm,1.0,982339
1185676
