logN,backend,avg_bw_KB,avg_rounds,avg_answer_rnd,hit_pct,avg_us
16,AVL,306.25,54.9,54.9,67.0,482
16,BPlus,470.02,13.0,13.0,67.0,376
16,DaAvl,301.94,31.0,30.3,67.0,236
16,DaBplus,216.44,22.0,21.3,67.0,204
16,BPlus+DaBplus,379.86,22.0,14.6,67.0,141
16,BPlus+DaAvl,420.50,31.0,17.6,67.0,163
20,AVL,424.96,65.2,65.2,54.2,1376
20,BPlus,721.86,15.6,15.6,54.2,289
20,DaAvl,359.56,31.0,30.5,54.2,367
20,DaBplus,264.50,22.0,21.5,54.2,892
20,BPlus+DaBplus,427.92,22.0,16.0,54.2,220
20,BPlus+DaAvl,478.12,31.0,20.2,54.2,257
