logN,backend,hit_pct,base_bw_KB,base_rnd,base_ms,tm_hot_bw_KB,tm_cold_bw_KB,tm_mean_bw_KB,fo_bw_KB,tm_hot_rnd,tm_cold_rnd,tm_mean_rnd,tm_hot_ms,tm_cold_ms,tm_mean_ms
16,AVL,64.2,379,73,6201,210,502,315,537,46,73,56,3908,6202,4730
16,BPlus,64.2,1072,25,2123,429,1225,715,1261,16,25,19,1359,2124,1633
16,DaBplus,64.2,135,22,1868,452,452,452,487,16,31,21,1359,2633,1816
18,AVL,56.9,456,79,6709,215,573,369,612,46,79,60,3907,6709,5116
18,BPlus,56.9,1401,28,2378,441,1518,905,1557,16,28,21,1359,2378,1799
18,DaBplus,56.9,156,22,1868,467,467,467,506,16,31,22,1359,2633,1908
20,AVL,51.3,557,88,7474,219,668,438,712,46,88,66,3907,7476,5644
20,BPlus,51.3,1772,31,2634,452,1853,1134,1897,16,31,23,1359,2635,1980
20,DaBplus,51.3,176,22,1869,482,482,482,525,16,31,23,1359,2634,1979
24,AVL,43.0,790,106,8468,229,890,606,941,46,106,80,3675,8470,6409
24,BPlus,43.0,2645,37,2956,475,2654,1717,2705,16,37,28,1278,2960,2237
24,DaBplus,43.0,233,23,1838,512,512,512,564,16,32,25,1278,2557,2008
22,AVL,46.7,668,97,7945,224,774,517,821,46,97,73,3768,7943,5993
22,BPlus,46.7,2187,34,2784,463,2232,1406,2279,16,34,26,1310,2784,2096
22,DaBplus,46.7,208,23,1883,497,497,497,544,16,32,25,1310,2621,2008
