logN,config,component,capacity,level,total_nodes,bucket_size,block_size,tree_bytes,tree_MB
16,baseline,index_oram,65536,17,131071,4,28,18874224,18.000
16,baseline,data_oram,65536,17,131071,4,256,138410976,131.999
16,tiered,hot_index_oram,1024,11,2047,4,28,294768,0.281
16,tiered,cold_idx_upper,1024,11,2047,4,28,294768,0.281
16,tiered,cold_idx_lower,64512,17,131071,4,28,18874224,18.000
16,tiered,hot_data_oram,1024,11,2047,4,256,2161632,2.061
16,tiered,cold_data_oram,64512,17,131071,4,256,138410976,131.999
16,overhead_pct,,,,,,,1.749
18,baseline,index_oram,262144,19,524287,4,28,75497328,72.000
18,baseline,data_oram,262144,19,524287,4,256,553647072,527.999
18,tiered,hot_index_oram,1024,11,2047,4,28,294768,0.281
18,tiered,cold_idx_upper,1024,11,2047,4,28,294768,0.281
18,tiered,cold_idx_lower,261120,19,524287,4,28,75497328,72.000
18,tiered,hot_data_oram,1024,11,2047,4,256,2161632,2.061
18,tiered,cold_data_oram,261120,19,524287,4,256,553647072,527.999
18,overhead_pct,,,,,,,0.437
20,baseline,index_oram,1048576,21,2097151,4,28,301989744,288.000
20,baseline,data_oram,1048576,21,2097151,4,256,2214591456,2111.999
20,tiered,hot_index_oram,1024,11,2047,4,28,294768,0.281
20,tiered,cold_idx_upper,1024,11,2047,4,28,294768,0.281
20,tiered,cold_idx_lower,1047552,21,2097151,4,28,301989744,288.000
20,tiered,hot_data_oram,1024,11,2047,4,256,2161632,2.061
20,tiered,cold_data_oram,1047552,21,2097151,4,256,2214591456,2111.999
20,overhead_pct,,,,,,,0.109
22,baseline,index_oram,4194304,23,8388607,4,28,1207959408,1152.000
22,baseline,data_oram,4194304,23,8388607,4,256,8858368992,8447.999
22,tiered,hot_index_oram,1024,11,2047,4,28,294768,0.281
22,tiered,cold_idx_upper,1024,11,2047,4,28,294768,0.281
22,tiered,cold_idx_lower,4193280,23,8388607,4,28,1207959408,1152.000
22,tiered,hot_data_oram,1024,11,2047,4,256,2161632,2.061
22,tiered,cold_data_oram,4193280,23,8388607,4,256,8858368992,8447.999
22,overhead_pct,,,,,,,0.027
24,baseline,index_oram,16777216,25,33554431,4,28,4831838064,4608.000
24,baseline,data_oram,16777216,25,33554431,4,256,35433479136,33791.999
24,tiered,hot_index_oram,1024,11,2047,4,28,294768,0.281
24,tiered,cold_idx_upper,1024,11,2047,4,28,294768,0.281
24,tiered,cold_idx_lower,16776192,25,33554431,4,28,4831838064,4608.000
24,tiered,hot_data_oram,1024,11,2047,4,256,2161632,2.061
24,tiered,cold_data_oram,16776192,25,33554431,4,256,35433479136,33791.999
24,overhead_pct,,,,,,,0.007
