onset_queries_K,B_swap,hit_rate_pct
0.0,16,0.00
2.0,16,26.20
4.0,16,31.98
6.0,16,35.47
8.0,16,37.96
10.0,16,38.19
12.0,16,38.19
14.0,16,38.19
16.0,16,38.19
18.0,16,38.47
20.0,16,38.63
22.0,16,38.75
24.0,16,38.89
26.0,16,39.00
28.0,16,39.07
30.0,16,39.20
32.0,16,39.24
34.0,16,39.32
36.0,16,39.35
38.0,16,39.37
40.0,16,39.40
42.0,16,39.45
44.0,16,39.47
46.0,16,39.47
48.0,16,39.48
50.0,16,39.49
52.0,16,39.50
54.0,16,39.51
56.0,16,39.52
58.0,16,39.54
60.0,16,39.56
62.0,16,39.58
64.0,16,39.61
66.0,16,39.83
68.0,16,40.63
70.0,16,41.10
72.0,16,41.64
74.0,16,41.87
76.0,16,42.21
78.0,16,42.43
80.0,16,42.52
82.0,16,42.65
84.0,16,42.72
86.0,16,42.79
88.0,16,42.89
90.0,16,42.95
92.0,16,42.99
94.0,16,43.02
96.0,16,43.02
98.0,16,43.02
100.0,16,43.02
102.0,16,43.03
104.0,16,43.04
106.0,16,43.04
108.0,16,43.04
110.0,16,43.04
112.0,16,43.04
114.0,16,43.04
116.0,16,43.05
118.0,16,43.05
120.0,16,43.05
122.0,16,43.05
124.0,16,43.05
126.0,16,43.05
128.0,16,43.05
130.0,16,43.05
132.0,16,43.06
134.0,16,43.10
136.0,16,43.10
138.0,16,43.10
140.0,16,43.10
142.0,16,43.10
144.0,16,43.09
146.0,16,43.09
148.0,16,43.10
0.0,32,0.00
2.0,32,21.82
4.0,32,26.20
6.0,32,29.63
8.0,32,31.98
10.0,32,33.89
12.0,32,35.47
14.0,32,37.02
16.0,32,37.96
18.0,32,38.19
20.0,32,38.19
22.0,32,38.19
24.0,32,38.19
26.0,32,38.19
28.0,32,38.19
30.0,32,38.19
32.0,32,38.19
34.0,32,38.25
36.0,32,38.28
38.0,32,38.30
40.0,32,38.33
42.0,32,38.38
44.0,32,38.40
46.0,32,38.40
48.0,32,38.41
50.0,32,38.42
52.0,32,38.43
54.0,32,38.44
56.0,32,38.45
58.0,32,38.47
60.0,32,38.49
62.0,32,38.51
64.0,32,38.54
66.0,32,38.73
68.0,32,39.51
70.0,32,40.20
72.0,32,40.93
74.0,32,41.32
76.0,32,41.70
78.0,32,41.93
80.0,32,42.08
82.0,32,42.10
84.0,32,42.10
86.0,32,42.10
88.0,32,42.10
90.0,32,42.10
92.0,32,42.11
94.0,32,42.17
96.0,32,42.20
98.0,32,42.24
100.0,32,42.28
102.0,32,42.29
104.0,32,42.32
106.0,32,42.34
108.0,32,42.34
110.0,32,42.37
112.0,32,42.38
114.0,32,42.40
116.0,32,42.41
118.0,32,42.42
120.0,32,42.43
122.0,32,42.43
124.0,32,42.44
126.0,32,42.44
128.0,32,42.47
130.0,32,42.48
132.0,32,42.54
134.0,32,42.75
136.0,32,42.75
138.0,32,42.75
140.0,32,42.75
142.0,32,42.75
144.0,32,42.75
146.0,32,42.75
148.0,32,42.75
0.0,64,0.00
2.0,64,16.39
4.0,64,21.82
6.0,64,23.99
8.0,64,26.20
10.0,64,28.24
12.0,64,29.63
14.0,64,30.79
16.0,64,31.98
18.0,64,33.08
20.0,64,33.89
22.0,64,34.50
24.0,64,35.47
26.0,64,36.44
28.0,64,37.02
30.0,64,37.49
32.0,64,37.96
34.0,64,38.19
36.0,64,38.19
38.0,64,38.19
40.0,64,38.19
42.0,64,38.19
44.0,64,38.19
46.0,64,38.19
48.0,64,38.19
50.0,64,38.19
52.0,64,38.19
54.0,64,38.19
56.0,64,38.19
58.0,64,38.19
60.0,64,38.19
62.0,64,38.19
64.0,64,38.19
66.0,64,38.30
68.0,64,38.71
70.0,64,39.05
72.0,64,39.44
74.0,64,39.77
76.0,64,40.13
78.0,64,40.50
80.0,64,40.81
82.0,64,41.09
84.0,64,41.09
86.0,64,41.09
88.0,64,41.09
90.0,64,41.09
92.0,64,41.09
94.0,64,41.09
96.0,64,41.09
98.0,64,41.09
100.0,64,41.09
102.0,64,41.09
104.0,64,41.09
106.0,64,41.09
108.0,64,41.09
110.0,64,41.09
112.0,64,41.09
114.0,64,41.09
116.0,64,41.09
118.0,64,41.09
120.0,64,41.09
122.0,64,41.09
124.0,64,41.09
126.0,64,41.09
128.0,64,41.09
130.0,64,41.08
132.0,64,41.19
134.0,64,41.52
136.0,64,41.81
138.0,64,42.04
140.0,64,42.18
142.0,64,42.18
144.0,64,42.18
146.0,64,42.18
148.0,64,42.18
0.0,no_maint,0.00
2.0,no_maint,0.00
4.0,no_maint,0.00
6.0,no_maint,0.00
8.0,no_maint,0.00
10.0,no_maint,0.00
12.0,no_maint,0.00
14.0,no_maint,0.00
16.0,no_maint,0.00
18.0,no_maint,0.00
20.0,no_maint,0.00
22.0,no_maint,0.00
24.0,no_maint,0.00
26.0,no_maint,0.00
28.0,no_maint,0.00
30.0,no_maint,0.00
32.0,no_maint,0.00
34.0,no_maint,0.00
36.0,no_maint,0.00
38.0,no_maint,0.00
40.0,no_maint,0.00
42.0,no_maint,0.00
44.0,no_maint,0.00
46.0,no_maint,0.00
48.0,no_maint,0.00
50.0,no_maint,0.00
52.0,no_maint,0.00
54.0,no_maint,0.00
56.0,no_maint,0.00
58.0,no_maint,0.00
60.0,no_maint,0.00
62.0,no_maint,0.00
64.0,no_maint,0.00
66.0,no_maint,0.00
68.0,no_maint,0.00
70.0,no_maint,0.00
72.0,no_maint,0.00
74.0,no_maint,0.00
76.0,no_maint,0.00
78.0,no_maint,0.00
80.0,no_maint,0.00
82.0,no_maint,0.00
84.0,no_maint,0.00
86.0,no_maint,0.00
88.0,no_maint,0.00
90.0,no_maint,0.00
92.0,no_maint,0.00
94.0,no_maint,0.00
96.0,no_maint,0.00
98.0,no_maint,0.00
100.0,no_maint,0.00
102.0,no_maint,0.00
104.0,no_maint,0.00
106.0,no_maint,0.00
108.0,no_maint,0.00
110.0,no_maint,0.00
112.0,no_maint,0.00
114.0,no_maint,0.00
116.0,no_maint,0.00
118.0,no_maint,0.00
120.0,no_maint,0.00
122.0,no_maint,0.00
124.0,no_maint,0.00
126.0,no_maint,0.00
128.0,no_maint,0.00
130.0,no_maint,0.00
132.0,no_maint,0.00
134.0,no_maint,0.00
136.0,no_maint,0.00
138.0,no_maint,0.00
140.0,no_maint,0.00
142.0,no_maint,0.00
144.0,no_maint,0.00
146.0,no_maint,0.00
148.0,no_maint,0.00
