onset_queries_K,B_swap,hit_rate_pct
0.0,16,0.01
2.0,16,30.52
4.0,16,37.51
6.0,16,41.92
8.0,16,44.71
10.0,16,44.86
12.0,16,44.86
14.0,16,44.86
16.0,16,44.86
18.0,16,45.07
20.0,16,45.23
22.0,16,45.36
24.0,16,45.47
26.0,16,45.56
28.0,16,45.66
30.0,16,45.67
32.0,16,45.73
34.0,16,45.78
36.0,16,45.81
38.0,16,45.86
40.0,16,45.87
42.0,16,45.91
44.0,16,45.94
46.0,16,45.96
48.0,16,45.98
50.0,16,45.99
52.0,16,46.02
54.0,16,46.04
56.0,16,46.05
58.0,16,46.06
60.0,16,46.07
62.0,16,46.08
64.0,16,46.10
66.0,16,46.66
68.0,16,48.41
70.0,16,49.47
72.0,16,50.28
74.0,16,50.61
76.0,16,50.61
78.0,16,50.61
80.0,16,50.61
82.0,16,50.61
84.0,16,50.63
86.0,16,50.72
88.0,16,50.72
90.0,16,50.72
92.0,16,50.72
94.0,16,50.72
96.0,16,50.72
98.0,16,50.72
100.0,16,50.72
102.0,16,50.73
104.0,16,50.74
106.0,16,50.74
108.0,16,50.74
110.0,16,50.74
112.0,16,50.74
114.0,16,50.74
116.0,16,50.74
118.0,16,50.74
120.0,16,50.75
122.0,16,50.75
124.0,16,50.75
126.0,16,50.75
128.0,16,50.75
130.0,16,50.75
132.0,16,50.76
134.0,16,50.82
136.0,16,50.90
138.0,16,50.90
140.0,16,50.90
142.0,16,50.90
144.0,16,50.90
146.0,16,50.89
148.0,16,50.90
0.0,32,0.01
2.0,32,25.83
4.0,32,30.52
6.0,32,33.98
8.0,32,37.51
10.0,32,40.34
12.0,32,41.92
14.0,32,43.68
16.0,32,44.71
18.0,32,44.86
20.0,32,44.86
22.0,32,44.86
24.0,32,44.86
26.0,32,44.86
28.0,32,44.86
30.0,32,44.86
32.0,32,44.86
34.0,32,44.88
36.0,32,44.90
38.0,32,44.95
40.0,32,44.96
42.0,32,45.00
44.0,32,45.03
46.0,32,45.05
48.0,32,45.07
50.0,32,45.08
52.0,32,45.11
54.0,32,45.13
56.0,32,45.14
58.0,32,45.16
60.0,32,45.16
62.0,32,45.17
64.0,32,45.19
66.0,32,45.45
68.0,32,46.59
70.0,32,47.55
72.0,32,48.31
74.0,32,49.00
76.0,32,49.57
78.0,32,49.57
80.0,32,49.57
82.0,32,49.57
84.0,32,49.57
86.0,32,49.57
88.0,32,49.57
90.0,32,49.58
92.0,32,49.61
94.0,32,49.69
