queries_K,B_obs,hit_rate_pct
0.0,16384,43.63
2.0,16384,43.63
4.0,16384,43.63
6.0,16384,43.63
8.0,16384,43.63
10.0,16384,43.63
12.0,16384,43.63
14.0,16384,43.63
16.0,16384,43.63
18.0,16384,43.63
20.0,16384,43.63
22.0,16384,43.63
24.0,16384,43.60
26.0,16384,43.57
28.0,16384,43.56
30.0,16384,43.53
32.0,16384,43.47
34.0,16384,43.19
36.0,16384,43.00
38.0,16384,42.80
40.0,16384,42.62
42.0,16384,42.46
44.0,16384,42.31
46.0,16384,42.30
48.0,16384,42.30
50.0,16384,42.19
52.0,16384,42.14
54.0,16384,42.06
56.0,16384,41.85
58.0,16384,41.80
60.0,16384,41.71
62.0,16384,41.61
64.0,16384,41.54
66.0,16384,41.44
68.0,16384,41.28
70.0,16384,41.35
72.0,16384,41.35
74.0,16384,41.35
76.0,16384,41.36
78.0,16384,41.36
80.0,16384,41.34
82.0,16384,41.29
84.0,16384,40.92
86.0,16384,40.72
88.0,16384,40.52
90.0,16384,40.41
92.0,16384,40.41
94.0,16384,40.42
96.0,16384,40.43
98.0,16384,40.43
100.0,16384,40.21
102.0,16384,40.08
104.0,16384,39.90
106.0,16384,39.71
108.0,16384,39.57
110.0,16384,39.57
112.0,16384,39.58
114.0,16384,39.58
116.0,16384,39.56
118.0,16384,39.46
120.0,16384,39.37
122.0,16384,39.25
124.0,16384,39.10
126.0,16384,39.08
128.0,16384,39.08
130.0,16384,39.10
132.0,16384,39.08
134.0,16384,39.00
136.0,16384,38.94
138.0,16384,38.83
140.0,16384,38.73
142.0,16384,38.75
144.0,16384,38.76
146.0,16384,38.77
148.0,16384,38.73
150.0,16384,38.68
152.0,16384,38.56
154.0,16384,38.50
156.0,16384,38.39
158.0,16384,38.42
160.0,16384,38.45
162.0,16384,38.45
164.0,16384,38.42
166.0,16384,38.42
168.0,16384,38.26
170.0,16384,38.16
172.0,16384,38.17
174.0,16384,38.17
176.0,16384,38.21
178.0,16384,38.23
180.0,16384,38.24
182.0,16384,38.12
184.0,16384,38.06
186.0,16384,38.13
188.0,16384,38.14
190.0,16384,38.15
192.0,16384,38.16
194.0,16384,38.17
196.0,16384,38.18
198.0,16384,38.23
200.0,16384,38.38
202.0,16384,38.35
204.0,16384,38.39
206.0,16384,38.37
208.0,16384,38.31
210.0,16384,38.24
212.0,16384,38.22
214.0,16384,38.27
216.0,16384,38.32
218.0,16384,38.27
220.0,16384,38.25
222.0,16384,38.25
224.0,16384,38.17
226.0,16384,38.17
228.0,16384,38.17
230.0,16384,38.23
232.0,16384,38.28
234.0,16384,38.20
236.0,16384,38.13
238.0,16384,38.05
240.0,16384,38.07
242.0,16384,38.10
244.0,16384,38.13
246.0,16384,38.16
248.0,16384,38.13
250.0,16384,38.12
252.0,16384,38.06
254.0,16384,38.10
256.0,16384,38.15
258.0,16384,38.18
260.0,16384,38.19
262.0,16384,38.20
264.0,16384,38.12
266.0,16384,38.11
268.0,16384,38.15
270.0,16384,38.18
272.0,16384,38.12
274.0,16384,38.11
276.0,16384,38.10
278.0,16384,38.10
280.0,16384,38.15
282.0,16384,38.21
284.0,16384,38.29
286.0,16384,38.32
288.0,16384,38.30
290.0,16384,38.28
292.0,16384,38.19
294.0,16384,38.19
296.0,16384,38.22
298.0,16384,38.19
300.0,16384,38.21
302.0,16384,38.17
304.0,16384,38.19
306.0,16384,38.14
308.0,16384,38.15
310.0,16384,38.17
312.0,16384,38.18
314.0,16384,37.95
316.0,16384,37.95
318.0,16384,37.87
320.0,16384,37.90
