queries_K,B_obs,hit_rate_pct
0.0,16384,52.00
2.0,16384,52.00
4.0,16384,52.00
6.0,16384,52.00
8.0,16384,52.00
10.0,16384,52.00
12.0,16384,52.00
14.0,16384,52.00
16.0,16384,52.00
18.0,16384,52.00
20.0,16384,52.00
22.0,16384,52.00
24.0,16384,52.00
26.0,16384,51.98
28.0,16384,51.96
30.0,16384,51.94
32.0,16384,51.90
34.0,16384,51.66
36.0,16384,51.36
38.0,16384,51.13
40.0,16384,50.99
42.0,16384,50.86
44.0,16384,50.71
46.0,16384,50.66
48.0,16384,50.66
50.0,16384,50.66
52.0,16384,50.68
54.0,16384,50.60
56.0,16384,50.53
58.0,16384,50.48
60.0,16384,50.44
62.0,16384,50.35
64.0,16384,50.28
66.0,16384,50.15
68.0,16384,49.89
70.0,16384,49.70
72.0,16384,49.71
74.0,16384,49.72
76.0,16384,49.72
78.0,16384,49.73
80.0,16384,49.73
82.0,16384,49.70
84.0,16384,49.63
86.0,16384,49.53
88.0,16384,49.38
90.0,16384,49.21
92.0,16384,49.08
94.0,16384,49.03
96.0,16384,49.04
98.0,16384,49.06
100.0,16384,49.05
102.0,16384,49.01
104.0,16384,48.90
106.0,16384,48.86
108.0,16384,48.81
110.0,16384,48.75
112.0,16384,48.71
114.0,16384,48.67
116.0,16384,48.57
118.0,16384,48.65
120.0,16384,48.67
122.0,16384,48.71
124.0,16384,48.71
126.0,16384,48.67
128.0,16384,48.65
130.0,16384,48.64
132.0,16384,48.50
134.0,16384,48.32
136.0,16384,48.20
138.0,16384,48.25
140.0,16384,48.26
142.0,16384,48.27
144.0,16384,48.27
146.0,16384,48.28
148.0,16384,48.24
150.0,16384,48.15
152.0,16384,48.00
154.0,16384,47.87
156.0,16384,47.80
158.0,16384,47.81
160.0,16384,47.81
162.0,16384,47.83
164.0,16384,47.85
166.0,16384,47.66
168.0,16384,47.52
170.0,16384,47.53
172.0,16384,47.48
174.0,16384,47.42
176.0,16384,47.48
178.0,16384,47.49
180.0,16384,47.50
182.0,16384,47.49
184.0,16384,47.34
186.0,16384,47.28
188.0,16384,47.21
190.0,16384,47.19
192.0,16384,47.15
194.0,16384,47.16
196.0,16384,47.19
198.0,16384,47.26
200.0,16384,47.24
202.0,16384,47.07
204.0,16384,47.05
