logN,backend,avg_bw_KB,avg_rounds,avg_comp_us
12,AVL,1579.50,54.0,331
12,BPlus,2239.02,14.0,123
12,DaAvl,808.75,29.0,114
12,DaBplus,525.39,20.0,87
14,AVL,2126.25,63.0,431
14,BPlus,3024.12,16.0,153
14,DaAvl,935.25,29.0,132
14,DaBplus,608.30,20.0,97
16,AVL,2754.00,72.0,543
16,BPlus,3925.55,18.0,194
16,DaAvl,1073.00,30.0,156
16,DaBplus,702.45,21.0,118
18,AVL,3334.50,78.0,646
18,BPlus,4943.28,20.0,244
18,DaAvl,1204.00,30.0,167
18,DaBplus,789.86,21.0,126
20,AVL,4110.75,87.0,767
20,BPlus,6077.33,22.0,280
20,DaAvl,1335.00,30.0,187
20,DaBplus,877.27,21.0,139
