logN,backend,type,avg_bw_KB,avg_rounds
12,AVL,standalone,1579.50,54.0
12,AVL,tiered,2605.50,51.0
12,BPlus,standalone,2239.02,14.0
12,BPlus,tiered,3605.69,14.0
12,DaAvl,standalone,808.75,29.0
12,DaAvl,tiered,1491.00,29.0
12,DaBplus,standalone,525.39,20.0
12,DaBplus,tiered,1450.50,20.0
14,AVL,standalone,2126.25,63.0
14,AVL,tiered,3240.00,63.0
14,BPlus,standalone,3024.12,16.0
14,BPlus,tiered,4594.34,16.0
14,DaAvl,standalone,935.25,29.0
14,DaAvl,tiered,1617.50,29.0
14,DaBplus,standalone,608.30,20.0
14,DaBplus,tiered,1607.66,20.0
16,AVL,standalone,2754.00,72.0
16,AVL,tiered,3867.75,72.0
16,BPlus,standalone,3925.55,18.0
16,BPlus,tiered,5495.77,18.0
16,DaAvl,standalone,1073.00,30.0
16,DaAvl,tiered,1755.25,30.0
16,DaBplus,standalone,702.45,21.0
16,DaBplus,tiered,1776.06,21.0
18,AVL,standalone,3334.50,78.0
18,AVL,tiered,4448.25,78.0
18,BPlus,standalone,4943.28,20.0
18,BPlus,tiered,6513.50,20.0
18,DaAvl,standalone,1204.00,30.0
18,DaAvl,tiered,1886.25,30.0
18,DaBplus,standalone,789.86,21.0
18,DaBplus,tiered,1937.72,21.0
20,AVL,standalone,4110.75,87.0
20,AVL,tiered,5224.50,87.0
20,BPlus,standalone,6077.33,22.0
20,BPlus,tiered,7647.55,22.0
20,DaAvl,standalone,1335.00,30.0
20,DaAvl,tiered,2017.25,30.0
20,DaBplus,standalone,877.27,21.0
20,DaBplus,tiered,2099.38,21.0
