query_idx,backend,scenario,hit_pct
100,AVL,no_maint,73.0
200,AVL,no_maint,70.0
300,AVL,no_maint,74.0
400,AVL,no_maint,61.0
500,AVL,no_maint,78.0
600,AVL,no_maint,70.0
700,AVL,no_maint,65.0
800,AVL,no_maint,71.0
900,AVL,no_maint,78.0
1000,AVL,no_maint,71.0
1100,AVL,no_maint,67.0
1200,AVL,no_maint,70.0
1300,AVL,no_maint,65.0
1400,AVL,no_maint,68.0
1500,AVL,no_maint,72.0
1600,AVL,no_maint,71.0
1700,AVL,no_maint,75.0
1800,AVL,no_maint,68.0
1900,AVL,no_maint,65.0
2000,AVL,no_maint,73.0
2100,AVL,no_maint,2.0
2200,AVL,no_maint,1.0
2300,AVL,no_maint,3.0
2400,AVL,no_maint,1.0
2500,AVL,no_maint,3.0
2600,AVL,no_maint,3.0
2700,AVL,no_maint,1.0
2800,AVL,no_maint,0.0
2900,AVL,no_maint,3.0
3000,AVL,no_maint,2.0
3100,AVL,no_maint,1.0
3200,AVL,no_maint,0.0
3300,AVL,no_maint,3.0
3400,AVL,no_maint,3.0
3500,AVL,no_maint,2.0
3600,AVL,no_maint,1.0
3700,AVL,no_maint,2.0
3800,AVL,no_maint,0.0
3900,AVL,no_maint,0.0
4000,AVL,no_maint,1.0
4100,AVL,no_maint,1.0
4200,AVL,no_maint,2.0
4300,AVL,no_maint,2.0
4400,AVL,no_maint,0.0
4500,AVL,no_maint,1.0
4600,AVL,no_maint,2.0
4700,AVL,no_maint,3.0
4800,AVL,no_maint,0.0
4900,AVL,no_maint,1.0
5000,AVL,no_maint,6.0
100,AVL,with_maint,73.0
200,AVL,with_maint,70.0
300,AVL,with_maint,74.0
400,AVL,with_maint,61.0
500,AVL,with_maint,78.0
600,AVL,with_maint,70.0
700,AVL,with_maint,65.0
800,AVL,with_maint,71.0
900,AVL,with_maint,78.0
1000,AVL,with_maint,71.0
1100,AVL,with_maint,67.0
1200,AVL,with_maint,70.0
1300,AVL,with_maint,65.0
1400,AVL,with_maint,68.0
1500,AVL,with_maint,72.0
1600,AVL,with_maint,71.0
1700,AVL,with_maint,75.0
1800,AVL,with_maint,68.0
1900,AVL,with_maint,64.0
2000,AVL,with_maint,72.0
2100,AVL,with_maint,2.0
2200,AVL,with_maint,3.0
2300,AVL,with_maint,8.0
2400,AVL,with_maint,10.0
2500,AVL,with_maint,23.0
2600,AVL,with_maint,22.0
2700,AVL,with_maint,31.0
2800,AVL,with_maint,26.0
2900,AVL,with_maint,27.0
3000,AVL,with_maint,23.0
3100,AVL,with_maint,30.0
3200,AVL,with_maint,24.0
3300,AVL,with_maint,26.0
3400,AVL,with_maint,28.0
3500,AVL,with_maint,32.0
3600,AVL,with_maint,20.0
3700,AVL,with_maint,26.0
3800,AVL,with_maint,34.0
3900,AVL,with_maint,32.0
4000,AVL,with_maint,23.0
4100,AVL,with_maint,26.0
4200,AVL,with_maint,33.0
4300,AVL,with_maint,30.0
4400,AVL,with_maint,32.0
4500,AVL,with_maint,26.0
4600,AVL,with_maint,23.0
4700,AVL,with_maint,40.0
4800,AVL,with_maint,44.0
4900,AVL,with_maint,37.0
5000,AVL,with_maint,35.0
100,BPlus,no_maint,73.0
200,BPlus,no_maint,70.0
300,BPlus,no_maint,74.0
400,BPlus,no_maint,61.0
500,BPlus,no_maint,78.0
600,BPlus,no_maint,70.0
700,BPlus,no_maint,65.0
800,BPlus,no_maint,71.0
900,BPlus,no_maint,78.0
1000,BPlus,no_maint,71.0
1100,BPlus,no_maint,67.0
1200,BPlus,no_maint,70.0
1300,BPlus,no_maint,65.0
1400,BPlus,no_maint,68.0
1500,BPlus,no_maint,72.0
1600,BPlus,no_maint,71.0
1700,BPlus,no_maint,75.0
1800,BPlus,no_maint,68.0
1900,BPlus,no_maint,65.0
2000,BPlus,no_maint,73.0
2100,BPlus,no_maint,2.0
2200,BPlus,no_maint,1.0
2300,BPlus,no_maint,3.0
2400,BPlus,no_maint,1.0
2500,BPlus,no_maint,3.0
2600,BPlus,no_maint,3.0
2700,BPlus,no_maint,1.0
2800,BPlus,no_maint,0.0
2900,BPlus,no_maint,3.0
3000,BPlus,no_maint,2.0
3100,BPlus,no_maint,1.0
3200,BPlus,no_maint,0.0
3300,BPlus,no_maint,3.0
3400,BPlus,no_maint,3.0
3500,BPlus,no_maint,2.0
3600,BPlus,no_maint,1.0
3700,BPlus,no_maint,2.0
3800,BPlus,no_maint,0.0
3900,BPlus,no_maint,0.0
4000,BPlus,no_maint,1.0
4100,BPlus,no_maint,1.0
4200,BPlus,no_maint,2.0
4300,BPlus,no_maint,2.0
4400,BPlus,no_maint,0.0
4500,BPlus,no_maint,1.0
4600,BPlus,no_maint,2.0
4700,BPlus,no_maint,3.0
4800,BPlus,no_maint,0.0
4900,BPlus,no_maint,1.0
5000,BPlus,no_maint,6.0
100,BPlus,with_maint,73.0
200,BPlus,with_maint,70.0
300,BPlus,with_maint,74.0
400,BPlus,with_maint,61.0
500,BPlus,with_maint,78.0
600,BPlus,with_maint,70.0
700,BPlus,with_maint,65.0
800,BPlus,with_maint,71.0
900,BPlus,with_maint,78.0
