query_idx,backend,hit_pct,epoch
100,AVL,72.0,1
200,AVL,73.0,2
300,AVL,74.0,3
400,AVL,70.0,4
500,AVL,71.0,4
600,AVL,71.0,5
700,AVL,74.0,6
800,AVL,72.0,7
900,AVL,71.0,8
1000,AVL,66.0,8
1100,AVL,68.0,9
1200,AVL,68.0,10
1300,AVL,65.0,11
1400,AVL,64.0,11
1500,AVL,72.0,12
1600,AVL,66.0,13
1700,AVL,65.0,14
1800,AVL,70.0,15
1900,AVL,69.0,15
2000,AVL,58.0,16
2100,AVL,65.0,17
2200,AVL,54.0,18
2300,AVL,53.0,18
2400,AVL,62.0,19
2500,AVL,63.0,20
2600,AVL,55.0,21
2700,AVL,65.0,22
2800,AVL,59.0,22
2900,AVL,68.0,23
3000,AVL,65.0,24
100,BPlus,72.0,1
200,BPlus,73.0,2
300,BPlus,74.0,3
400,BPlus,70.0,4
500,BPlus,71.0,4
600,BPlus,71.0,5
700,BPlus,74.0,6
800,BPlus,72.0,7
900,BPlus,71.0,8
1000,BPlus,66.0,8
1100,BPlus,68.0,9
1200,BPlus,68.0,10
1300,BPlus,65.0,11
1400,BPlus,64.0,11
1500,BPlus,72.0,12
1600,BPlus,66.0,13
1700,BPlus,65.0,14
1800,BPlus,70.0,15
1900,BPlus,69.0,15
2000,BPlus,58.0,16
2100,BPlus,65.0,17
2200,BPlus,54.0,18
2300,BPlus,53.0,18
2400,BPlus,62.0,19
2500,BPlus,63.0,20
2600,BPlus,55.0,21
2700,BPlus,65.0,22
2800,BPlus,59.0,22
2900,BPlus,68.0,23
3000,BPlus,65.0,24
100,DaAvl,72.0,1
200,DaAvl,70.0,2
300,DaAvl,70.0,3
400,DaAvl,67.0,4
500,DaAvl,67.0,4
600,DaAvl,67.0,5
700,DaAvl,67.0,6
800,DaAvl,70.0,7
900,DaAvl,66.0,8
1000,DaAvl,62.0,8
1100,DaAvl,57.0,9
1200,DaAvl,54.0,10
1300,DaAvl,51.0,11
1400,DaAvl,46.0,11
1500,DaAvl,55.0,12
1600,DaAvl,46.0,13
1700,DaAvl,52.0,14
1800,DaAvl,55.0,15
1900,DaAvl,58.0,15
2000,DaAvl,52.0,16
2100,DaAvl,65.0,17
2200,DaAvl,58.0,18
2300,DaAvl,53.0,18
2400,DaAvl,61.0,19
2500,DaAvl,60.0,20
2600,DaAvl,52.0,21
2700,DaAvl,65.0,22
2800,DaAvl,56.0,22
2900,DaAvl,65.0,23
3000,DaAvl,66.0,24
100,DaBplus,72.0,1
200,DaBplus,73.0,2
300,DaBplus,74.0,3
400,DaBplus,67.0,4
500,DaBplus,69.0,4
600,DaBplus,69.0,5
700,DaBplus,72.0,6
800,DaBplus,67.0,7
900,DaBplus,64.0,8
1000,DaBplus,64.0,8
1100,DaBplus,63.0,9
1200,DaBplus,66.0,10
1300,DaBplus,66.0,11
1400,DaBplus,63.0,11
1500,DaBplus,65.0,12
1600,DaBplus,61.0,13
1700,DaBplus,64.0,14
1800,DaBplus,68.0,15
1900,DaBplus,72.0,15
2000,DaBplus,59.0,16
2100,DaBplus,68.0,17
2200,DaBplus,61.0,18
2300,DaBplus,55.0,18
2400,DaBplus,69.0,19
2500,DaBplus,64.0,20
2600,DaBplus,56.0,21
2700,DaBplus,61.0,22
2800,DaBplus,64.0,22
2900,DaBplus,71.0,23
3000,DaBplus,67.0,24
