rtt_ms,backend,type,avg_rounds,avg_answer_rnd,latency_ms,answer_latency_ms
0.1,AVL,standalone,72.0,,7.20,
0.1,AVL,tiered,72.0,54.6,7.20,5.46
1.0,AVL,standalone,72.0,,72.00,
1.0,AVL,tiered,72.0,54.6,72.00,54.63
5.0,AVL,standalone,72.0,,360.00,
5.0,AVL,tiered,72.0,54.6,360.00,273.17
10.0,AVL,standalone,72.0,,720.00,
10.0,AVL,tiered,72.0,54.6,720.00,546.34
50.0,AVL,standalone,72.0,,3600.00,
50.0,AVL,tiered,72.0,54.6,3600.00,2731.68
100.0,AVL,standalone,72.0,,7200.00,
100.0,AVL,tiered,72.0,54.6,7200.00,5463.36
0.1,BPlus,standalone,18.0,,1.80,
0.1,BPlus,tiered,18.0,14.1,1.80,1.41
1.0,BPlus,standalone,18.0,,18.00,
1.0,BPlus,tiered,18.0,14.1,18.00,14.14
5.0,BPlus,standalone,18.0,,90.00,
5.0,BPlus,tiered,18.0,14.1,90.00,70.70
10.0,BPlus,standalone,18.0,,180.00,
10.0,BPlus,tiered,18.0,14.1,180.00,141.41
50.0,BPlus,standalone,18.0,,900.00,
50.0,BPlus,tiered,18.0,14.1,900.00,707.04
100.0,BPlus,standalone,18.0,,1800.00,
100.0,BPlus,tiered,18.0,14.1,1800.00,1414.08
0.1,DaAvl,standalone,28.0,,2.80,
0.1,DaAvl,tiered,28.0,28.0,2.80,2.80
1.0,DaAvl,standalone,28.0,,28.00,
1.0,DaAvl,tiered,28.0,28.0,28.00,28.00
5.0,DaAvl,standalone,28.0,,140.00,
5.0,DaAvl,tiered,28.0,28.0,140.00,140.00
10.0,DaAvl,standalone,28.0,,280.00,
10.0,DaAvl,tiered,28.0,28.0,280.00,280.00
50.0,DaAvl,standalone,28.0,,1400.00,
50.0,DaAvl,tiered,28.0,28.0,1400.00,1400.00
100.0,DaAvl,standalone,28.0,,2800.00,
100.0,DaAvl,tiered,28.0,28.0,2800.00,2800.00
0.1,DaBplus,standalone,19.0,,1.90,
0.1,DaBplus,tiered,19.0,19.0,1.90,1.90
1.0,DaBplus,standalone,19.0,,19.00,
1.0,DaBplus,tiered,19.0,19.0,19.00,19.00
5.0,DaBplus,standalone,19.0,,95.00,
5.0,DaBplus,tiered,19.0,19.0,95.00,95.00
10.0,DaBplus,standalone,19.0,,190.00,
10.0,DaBplus,tiered,19.0,19.0,190.00,190.00
50.0,DaBplus,standalone,19.0,,950.00,
50.0,DaBplus,tiered,19.0,19.0,950.00,950.00
100.0,DaBplus,standalone,19.0,,1900.00,
100.0,DaBplus,tiered,19.0,19.0,1900.00,1900.00
