logN,backend,mode,avg_bw_KB,avg_rounds,avg_answer_rnd,hit_pct
14,AVL,FO,3240.00,63.0,49.3,76.0
14,AVL,TM,3240.00,63.0,49.3,76.0
14,AVL,TM+Split,1816.20,49.3,49.3,76.0
14,BPlus,FO,4594.34,16.0,13.0,76.0
14,BPlus,TM,4594.34,16.0,13.0,76.0
14,BPlus,TM+Split,2244.25,13.0,13.0,76.0
14,DaAvl,FO,1617.50,29.0,29.0,76.0
14,DaAvl,TM,1617.50,29.0,29.0,76.0
14,DaAvl,TM+Split,1617.50,29.0,29.0,76.0
14,DaBplus,FO,1607.66,20.0,20.0,76.0
14,DaBplus,TM,1607.66,20.0,20.0,76.0
14,DaBplus,TM+Split,1607.66,20.0,20.0,76.0
16,AVL,FO,3867.75,72.0,53.2,69.5
16,AVL,TM,3867.75,72.0,53.2,69.5
16,AVL,TM+Split,2111.14,53.2,53.2,69.5
16,BPlus,FO,5495.77,18.0,13.8,69.5
16,BPlus,TM,5495.77,18.0,13.8,69.5
16,BPlus,TM+Split,2619.07,13.8,13.8,69.5
16,DaAvl,FO,1755.25,30.0,29.3,69.5
16,DaAvl,TM,1755.25,30.0,29.3,69.5
16,DaAvl,TM+Split,1755.25,30.0,29.3,69.5
16,DaBplus,FO,1776.06,21.0,20.3,69.5
16,DaBplus,TM,1776.06,21.0,20.3,69.5
16,DaBplus,TM+Split,1776.06,21.0,20.3,69.5
18,AVL,FO,4448.25,78.0,58.0,60.5
18,AVL,TM,4448.25,78.0,58.0,60.5
18,AVL,TM+Split,2535.38,58.0,58.0,60.5
18,BPlus,FO,6513.50,20.0,15.2,60.5
18,BPlus,TM,6513.50,20.0,15.2,60.5
18,BPlus,TM+Split,3218.40,15.2,15.2,60.5
18,DaAvl,FO,1886.25,30.0,29.4,60.5
18,DaAvl,TM,1886.25,30.0,29.4,60.5
18,DaAvl,TM+Split,1886.25,30.0,29.4,60.5
18,DaBplus,FO,1937.72,21.0,20.4,60.5
18,DaBplus,TM,1937.72,21.0,20.4,60.5
18,DaBplus,TM+Split,1937.72,21.0,20.4,60.5
20,AVL,FO,5224.50,87.0,62.9,57.5
20,AVL,TM,5224.50,87.0,62.9,57.5
20,AVL,TM+Split,2934.68,62.9,62.9,57.5
20,BPlus,FO,7647.55,22.0,16.2,57.5
20,BPlus,TM,7647.55,22.0,16.2,57.5
20,BPlus,TM+Split,3759.65,16.2,16.2,57.5
20,DaAvl,FO,2017.25,30.0,29.4,57.5
20,DaAvl,TM,2017.25,30.0,29.4,57.5
20,DaAvl,TM+Split,2017.25,30.0,29.4,57.5
20,DaBplus,FO,2099.38,21.0,20.4,57.5
20,DaBplus,TM,2099.38,21.0,20.4,57.5
20,DaBplus,TM+Split,2099.38,21.0,20.4,57.5
