zipf_s,backend,avg_answer_rnd,hit_pct
0.5,AVL,69.57,9.00
0.50,BPlus,17.46,9.00
0.50,DaAvl,29.91,9.00
0.50,DaBplus,20.91,9.00
0.70,AVL,65.52,24.00
0.70,BPlus,16.56,24.00
0.70,DaAvl,29.76,24.00
0.70,DaBplus,20.76,24.00
0.90,AVL,56.88,56.00
0.90,BPlus,14.64,56.00
0.90,DaAvl,29.44,56.00
0.90,DaBplus,20.44,56.00
1.00,AVL,53.23,69.50
1.00,BPlus,13.83,69.50
1.00,DaAvl,29.30,69.50
1.00,DaBplus,20.30,69.50
1.10,AVL,50.40,80.00
1.10,BPlus,13.20,80.00
1.10,DaAvl,29.20,80.00
1.10,DaBplus,20.20,80.00
1.30,AVL,46.35,95.00
1.30,BPlus,12.30,95.00
1.30,DaAvl,29.05,95.00
1.30,DaBplus,20.05,95.00
1.50,AVL,45.41,98.50
1.50,BPlus,12.09,98.50
1.50,DaAvl,29.02,98.50
1.50,DaBplus,20.02,98.50
