logN,backend,type,ops_per_sec,avg_us_per_op
12,AVL,standalone,3045.9,328
12,AVL,tiered_tm,3353.8,298
12,BPlus,standalone,8004.0,125
12,BPlus,tiered_tm,6926.2,144
12,DaAvl,standalone,9445.3,106
12,DaAvl,tiered_tm,5935.6,168
12,DaBplus,standalone,12639.7,79
12,DaBplus,tiered_tm,8270.7,121
14,AVL,standalone,2277.7,439
14,AVL,tiered_tm,2805.6,356
14,BPlus,standalone,6393.6,156
14,BPlus,tiered_tm,5985.6,167
14,DaAvl,standalone,8148.3,123
14,DaAvl,tiered_tm,5135.5,195
14,DaBplus,standalone,10969.5,91
14,DaBplus,tiered_tm,7385.5,135
16,AVL,standalone,1797.1,556
16,AVL,tiered_tm,2338.6,428
16,BPlus,standalone,4838.4,207
16,BPlus,tiered_tm,4754.0,210
16,DaAvl,standalone,7299.7,137
16,DaAvl,tiered_tm,4756.1,210
16,DaBplus,standalone,9832.8,102
16,DaBplus,tiered_tm,6646.1,150
18,AVL,standalone,1490.8,671
18,AVL,tiered_tm,1976.5,506
18,BPlus,standalone,3838.0,261
18,BPlus,tiered_tm,3876.6,258
18,DaAvl,standalone,6709.6,149
18,DaAvl,tiered_tm,4466.4,224
18,DaBplus,standalone,9034.2,111
18,DaBplus,tiered_tm,6206.6,161
20,AVL,standalone,1228.6,814
20,AVL,tiered_tm,1690.8,591
20,BPlus,standalone,3248.1,308
20,BPlus,tiered_tm,3311.4,302
20,DaAvl,standalone,6213.4,161
20,DaAvl,tiered_tm,4291.1,233
20,DaBplus,standalone,8414.9,119
20,DaBplus,tiered_tm,5924.4,169
