logN,backend,avg_bw_KB,avg_rounds,avg_answer_rnd,hit_pct,avg_us
12,AVL,1536.75,45.8,45.8,87.5,294
12,BPlus,1890.33,12.2,12.2,87.5,110
12,DaAvl,1491.00,29.0,29.0,87.5,124
12,DaBplus,967.88,20.0,20.0,87.5,94
14,AVL,1816.20,49.3,49.3,76.0,345
14,BPlus,2244.25,13.0,13.0,76.0,125
14,DaAvl,1617.50,29.0,29.0,76.0,140
14,DaBplus,1607.66,20.0,20.0,76.0,108
16,AVL,2111.14,53.2,53.2,69.5,398
16,BPlus,2619.07,13.8,13.8,69.5,148
16,DaAvl,1755.25,30.0,29.3,69.5,160
16,DaBplus,1776.06,21.0,20.3,69.5,124
18,AVL,2535.38,58.0,58.0,60.5,473
18,BPlus,3218.40,15.2,15.2,60.5,175
18,DaAvl,1886.25,30.0,29.4,60.5,182
18,DaBplus,1937.72,21.0,20.4,60.5,137
20,AVL,2934.68,62.9,62.9,57.5,534
20,BPlus,3759.65,16.2,16.2,57.5,197
20,DaAvl,2017.25,30.0,29.4,57.5,190
20,DaBplus,2099.38,21.0,20.4,57.5,148
