query_idx,hit_pct
100,67
200,68
300,71
400,68
500,63
600,65
700,69
800,67
900,65
1000,67
1100,62
1200,66
1300,57
1400,62
1500,67
1600,58
1700,62
1800,66
1900,68
2000,53
2100,68
2200,54
2300,53
2400,59
2500,63
2600,57
2700,60
2800,53
2900,62
3000,63
3100,61
3200,70
3300,55
3400,53
3500,63
3600,53
3700,65
3800,51
3900,58
4000,67
4100,49
4200,57
4300,65
4400,59
4500,55
4600,66
4700,61
4800,70
4900,63
5000,63
5100,62
5200,59
5300,67
5400,52
5500,61
5600,48
5700,59
5800,56
5900,62
6000,60
6100,57
6200,52
6300,57
6400,53
6500,58
6600,57
6700,58
6800,57
6900,52
7000,59
7100,59
7200,53
7300,56
7400,59
7500,54
7600,54
7700,54
7800,64
7900,53
8000,65
8100,61
8200,56
8300,53
8400,61
8500,44
8600,46
8700,63
8800,62
8900,59
9000,53
9100,60
9200,52
9300,51
9400,43
9500,60
9600,54
9700,54
9800,55
9900,50
10000,54
