logN,backend,hit_pct,base_bw_KB,base_rnd,base_ms,tm_hot_bw_KB,tm_cold_bw_KB,tm_mean_bw_KB,fo_bw_KB,tm_hot_rnd,tm_cold_rnd,tm_mean_rnd,tm_hot_ms,tm_cold_ms,tm_mean_ms
16,AVL,69.0,2754,72,6076,502,502,502,537,46,73,54,3882,6161,4589
16,BPlus,69.0,3926,18,1519,321,772,461,807,11,17,13,928,1435,1085
18,AVL,61.5,3334,78,6582,573,573,573,612,46,79,59,3882,6667,4954
18,BPlus,61.5,4943,20,1688,333,956,573,995,11,19,14,928,1604,1188
20,AVL,57.5,4111,87,7340,668,668,668,712,46,88,64,3881,7425,5387
20,BPlus,57.5,6077,22,1857,344,1169,695,1212,11,21,15,928,1772,1287
22,AVL,52.5,4968,96,8099,774,774,774,821,46,97,70,3881,8184,5925
22,BPlus,52.5,7328,24,2025,355,1411,857,1458,11,23,17,928,1941,1409
24,AVL,46.5,5906,105,8858,890,890,890,941,46,106,78,3881,8944,6590
24,BPlus,46.5,8694,26,2194,367,1681,1070,1733,11,25,18,928,2110,1560
16,DaBplus,69.0,702,21,1735,344,344,344,379,11,22,14,909,1818,1191
18,DaBplus,61.5,790,21,1735,359,359,359,398,11,22,15,909,1818,1259
20,DaBplus,57.5,877,21,1735,374,374,374,417,11,22,16,909,1818,1296
22,DaBplus,52.5,976,22,1818,389,389,389,436,11,23,17,909,1901,1380
24,DaBplus,46.5,1068,22,1818,404,404,404,456,11,23,17,909,1901,1440
