logN,config,avg_time_us,avg_pages
14,flat_avl,51152.7,472.6
14,omap_hot,64296.1,621.5
14,packed_hot,47200.7,483.0
16,flat_avl,78732.0,702.4
16,omap_hot,88886.7,829.8
16,packed_hot,71984.7,689.9
18,flat_avl,111231.8,944.9
18,omap_hot,117567.8,1045.8
18,packed_hot,101158.3,908.3
20,flat_avl,157361.5,1251.9
20,omap_hot,159734.5,1333.0
20,packed_hot,142869.0,1192.3
22,flat_avl,215535.9,1605.2
22,omap_hot,213861.7,1658.7
22,packed_hot,197053.8,1524.7
24,flat_avl,287635.2,2001.9
24,omap_hot,280766.6,2033.5
24,packed_hot,264301.5,1896.0
