logN,config,avg_time_us,avg_pages,avg_hot_pages,avg_cold_up_pages,avg_cold_low_pages,hit_pct
14,flat_avl,51112.4,470.6,,,,
14,tiered_omap_hot,64216.3,623.3,148.9,58.9,415.6,74.5
14,tiered_packed,47288.0,481.6,10.0,58.7,412.9,74.5
14,tiered_packed_TM,47206.8,483.1,10.0,59.4,413.7,75.5
16,flat_avl,78778.6,699.4,,,,
16,tiered_omap_hot,88968.4,829.0,149.5,58.6,620.9,66.5
16,tiered_packed,71883.6,688.8,10.0,58.9,619.9,61.5
16,tiered_packed_TM,71882.4,689.5,10.0,59.1,620.4,67.5
18,flat_avl,111250.5,944.8,,,,
18,tiered_omap_hot,117778.3,1048.0,149.6,58.9,839.5,60.5
18,tiered_packed,100739.4,906.8,10.0,59.5,837.3,54.5
18,tiered_packed_TM,100902.3,908.8,10.0,59.2,839.6,58.0
20,flat_avl,157184.4,1251.0,,,,
20,tiered_omap_hot,159801.5,1334.8,149.3,59.7,1125.8,55.0
20,tiered_packed,143052.3,1192.4,10.0,59.0,1123.4,50.0
20,tiered_packed_TM,142833.0,1194.0,10.0,59.0,1125.1,51.5
22,flat_avl,215537.8,1604.0,,,,
22,tiered_omap_hot,213537.5,1661.3,149.9,58.8,1452.5,50.5
22,tiered_packed,197137.3,1522.6,10.0,59.1,1453.5,42.5
22,tiered_packed_TM,196928.7,1523.6,10.0,58.9,1454.7,46.0
24,flat_avl,287446.0,2001.8,,,,
24,tiered_omap_hot,280830.8,2035.3,149.6,59.9,1825.8,44.0
24,tiered_packed,263789.2,1895.7,10.0,59.1,1826.6,38.0
24,tiered_packed_TM,263852.0,1895.7,10.0,58.7,1827.0,41.5
