logN,config,answer_us,total_us,hit_pct
14,flat_avl,52799.0,52799.0,
14,packed_FO,390.9,49129.7,74.5
14,packed_TM,287.8,12707.9,74.5
16,flat_avl,82631.2,82631.2,
16,packed_FO,393.6,74859.9,66.5
16,packed_TM,240.9,29015.3,61.5
18,flat_avl,116911.7,116911.7,
18,packed_FO,397.1,106117.9,60.5
18,packed_TM,215.5,47921.7,54.5
20,flat_avl,162507.5,162507.5,
20,packed_FO,404.7,150522.2,55.0
20,packed_TM,200.4,75297.0,50.0
22,flat_avl,227031.1,227031.1,
22,packed_FO,431.0,207793.8,50.5
22,packed_TM,172.0,119368.7,42.5
24,flat_avl,300338.7,300338.7,
24,packed_FO,534.0,278673.4,44.0
24,packed_TM,155.2,172650.1,38.0
