logN,config,avg_time_us,avg_pages
14,flat_avl,49888.9,472.8
14,omap_hot,62563.5,620.8
14,packed_hot,46164.0,481.9
16,flat_avl,77442.7,701.3
16,omap_hot,87069.2,830.4
16,packed_hot,70344.2,688.7
18,flat_avl,109465.8,944.8
18,omap_hot,115192.2,1045.0
18,packed_hot,99427.9,909.3
20,flat_avl,154631.5,1249.1
20,omap_hot,157306.4,1333.6
20,packed_hot,140909.6,1195.8
22,flat_avl,212898.6,1604.2
22,omap_hot,209272.3,1664.3
22,packed_hot,193655.7,1523.0
24,flat_avl,282086.0,2002.7
24,omap_hot,274727.9,2033.7
24,packed_hot,258289.6,1896.4
