logN,config,avg_time_us,avg_pages,avg_hot_pages,avg_cold_up_pages,avg_cold_low_pages,hit_pct
14,flat_avl,49888.8,473.7,,,,
14,tiered_omap_hot,62765.7,622.1,149.6,59.0,413.5,74.5
14,tiered_packed,46156.2,482.6,10.0,58.4,414.3,74.5
14,tiered_packed_TM,11463.3,125.8,10.0,14.5,101.3,75.5
16,flat_avl,77510.2,702.2,,,,
16,tiered_omap_hot,86902.3,829.3,148.9,59.0,621.5,66.5
16,tiered_packed,70283.9,691.2,10.0,59.5,621.7,61.5
16,tiered_packed_TM,22971.9,231.6,10.0,19.1,202.5,67.5
18,flat_avl,109509.9,945.3,,,,
18,tiered_omap_hot,115120.9,1046.4,149.4,59.1,837.9,60.5
18,tiered_packed,99062.7,908.1,10.0,59.0,839.1,54.5
18,tiered_packed_TM,41564.7,387.2,10.0,24.6,352.7,58.0
20,flat_avl,154673.6,1251.1,,,,
20,tiered_omap_hot,156033.8,1334.3,149.2,59.0,1126.1,55.0
20,tiered_packed,140470.9,1196.4,10.0,59.7,1126.7,50.0
20,tiered_packed_TM,68144.8,585.6,10.0,29.2,546.4,51.5
22,flat_avl,212643.1,1604.6,,,,
22,tiered_omap_hot,209727.2,1663.3,149.8,59.1,1454.5,50.5
22,tiered_packed,192900.4,1522.5,10.0,59.2,1453.3,42.5
22,tiered_packed_TM,104676.1,828.5,10.0,31.9,786.6,46.0
24,flat_avl,282401.0,2001.4,,,,
24,tiered_omap_hot,274705.8,2035.7,149.3,59.2,1827.1,44.0
24,tiered_packed,258734.9,1895.7,10.0,58.7,1827.0,38.0
24,tiered_packed_TM,151431.4,1111.9,10.0,34.2,1067.7,41.5
